year_range,conference,division,finish,phase,metric,value
2012-13,eastern,atlantic,4th,regular_season,t,
2012-13,eastern,atlantic,4th,regular_season,ot,3
2012-13,eastern,atlantic,4th,playoffs,gf,133
2012-13,eastern,atlantic,4th,playoffs,ga,141
2012-13,eastern,atlantic,4th,playoffs,gp,
2012-13,eastern,atlantic,4th,playoffs,w,
2012-13,eastern,atlantic,4th,playoffs,l,
2012-13,eastern,atlantic,4th,playoffs,gf,
2012-13,eastern,atlantic,4th,playoffs,ga,
2013-14,eastern,metropolitan,3rd,regular_season,gp,82
2013-14,eastern,metropolitan,3rd,regular_season,w,42
2013-14,eastern,metropolitan,3rd,regular_season,l,30
2013-14,eastern,metropolitan,3rd,regular_season,t,
2013-14,eastern,metropolitan,3rd,regular_season,ot,10
2013-14,eastern,metropolitan,3rd,playoffs,gf,236
2013-14,eastern,metropolitan,3rd,playoffs,ga,235
2013-14,eastern,metropolitan,3rd,playoffs,gp,7
2013-14,eastern,metropolitan,3rd,playoffs,w,3
2013-14,eastern,metropolitan,3rd,playoffs,l,4
2013-14,eastern,metropolitan,3rd,playoffs,gf,16
2013-14,eastern,metropolitan,3rd,playoffs,ga,19
2014-15,eastern,metropolitan,6th,regular_season,gp,82
2014-15,eastern,metropolitan,6th,regular_season,w,33
2014-15,eastern,metropolitan,6th,regular_season,l,31
2014-15,eastern,metropolitan,6th,regular_season,t,
2014-15,eastern,metropolitan,6th,regular_season,ot,18
2014-15,eastern,metropolitan,6th,playoffs,gf,215
2014-15,eastern,metropolitan,6th,playoffs,ga,234
2014-15,eastern,metropolitan,6th,playoffs,gp,
2014-15,eastern,metropolitan,6th,playoffs,w,
2014-15,eastern,metropolitan,6th,playoffs,l,
2014-15,eastern,metropolitan,6th,playoffs,gf,
2014-15,eastern,metropolitan,6th,playoffs,ga,
2015-16,eastern,metropolitan,5th,regular_season,gp,82
2015-16,eastern,metropolitan,5th,regular_season,w,41
2015-16,eastern,metropolitan,5th,regular_season,l,27
2015-16,eastern,metropolitan,5th,regular_season,t,
2015-16,eastern,metropolitan,5th,regular_season,ot,14
2015-16,eastern,metropolitan,5th,playoffs,gf,214
2015-16,eastern,metropolitan,5th,playoffs,ga,218
2015-16,eastern,metropolitan,5th,playoffs,gp,6
2015-16,eastern,metropolitan,5th,playoffs,w,2
2015-16,eastern,metropolitan,5th,playoffs,l,4
2015-16,eastern,metropolitan,5th,playoffs,gf,6
2015-16,eastern,metropolitan,5th,playoffs,ga,14
2016-17,eastern,metropolitan,6th,regular_season,gp,82
2016-17,eastern,metropolitan,6th,regular_season,w,39
2016-17,eastern,metropolitan,6th,regular_season,l,33
2016-17,eastern,metropolitan,6th,regular_season,t,
2016-17,eastern,metropolitan,6th,regular_season,ot,10
2016-17,eastern,metropolitan,6th,playoffs,gf,219
2016-17,eastern,metropolitan,6th,playoffs,ga,236
2016-17,eastern,metropolitan,6th,playoffs,gp,
2016-17,eastern,metropolitan,6th,playoffs,w,
2016-17,eastern,metropolitan,6th,playoffs,l,
2016-17,eastern,metropolitan,6th,playoffs,gf,
2016-17,eastern,metropolitan,6th,playoffs,ga,
2017-18,eastern,metropolitan,3rd,regular_season,gp,82
2017-18,eastern,metropolitan,3rd,regular_season,w,42
2017-18,eastern,metropolitan,3rd,regular_season,l,26
2017-18,eastern,metropolitan,3rd,regular_season,t,
2017-18,eastern,metropolitan,3rd,regular_season,ot,14
2017-18,eastern,metropolitan,3rd,playoffs,gf,251
2017-18,eastern,metropolitan,3rd,playoffs,ga,243
2017-18,eastern,metropolitan,3rd,playoffs,gp,6
2017-18,eastern,metropolitan,3rd,playoffs,w,2
2017-18,eastern,metropolitan,3rd,playoffs,l,4
2017-18,eastern,metropolitan,3rd,playoffs,gf,15
2017-18,eastern,metropolitan,3rd,playoffs,ga,28
2018-19,eastern,metropolitan,6th,regular_season,gp,82
2018-19,eastern,metropolitan,6th,regular_season,w,37
2018-19,eastern,metropolitan,6th,regular_season,l,37
2018-19,eastern,metropolitan,6th,regular_season,t,
2018-19,eastern,metropolitan,6th,regular_season,ot,8
2018-19,eastern,metropolitan,6th,playoffs,gf,244
2018-19,eastern,metropolitan,6th,playoffs,ga,281
2018-19,eastern,metropolitan,6th,playoffs,gp,
2018-19,eastern,metropolitan,6th,playoffs,w,
2018-19,eastern,metropolitan,6th,playoffs,l,
2018-19,eastern,metropolitan,6th,playoffs,gf,
2018-19,eastern,metropolitan,6th,playoffs,ga,
