age_group,education_level,marital_status,sex,count
63,Never attended school,Widowed,Female,14110
64,Never attended school,Unmarried,Male,4368
64,Never attended school,Unmarried,Female,333
64,Never attended school,With Spouse,Male,13770
64,Never attended school,With Spouse,Female,59812
64,Never attended school,Divorced,Male,433
64,Never attended school,Divorced,Female,425
64,Never attended school,Widowed,Male,1720
64,Never attended school,Widowed,Female,15064
15,Preschool education,Unmarried,Male,921
15,Preschool education,Unmarried,Female,820
15,Preschool education,With Spouse,Male,0
15,Preschool education,With Spouse,Female,1
15,Preschool education,Divorced,Male,0
15,Preschool education,Divorced,Female,0
15,Preschool education,Widowed,Male,0
15,Preschool education,Widowed,Female,0
16,Preschool education,Unmarried,Male,562
16,Preschool education,Unmarried,Female,560
16,Preschool education,With Spouse,Male,2
16,Preschool education,With Spouse,Female,3
16,Preschool education,Divorced,Male,0
16,Preschool education,Divorced,Female,0
16,Preschool education,Widowed,Male,0
16,Preschool education,Widowed,Female,0
17,Preschool education,Unmarried,Male,300
17,Preschool education,Unmarried,Female,265
17,Preschool education,With Spouse,Male,0
17,Preschool education,With Spouse,Female,5
17,Preschool education,Divorced,Male,0
17,Preschool education,Divorced,Female,0
17,Preschool education,Widowed,Male,0
17,Preschool education,Widowed,Female,0
18,Preschool education,Unmarried,Male,290
18,Preschool education,Unmarried,Female,261
18,Preschool education,With Spouse,Male,4
18,Preschool education,With Spouse,Female,2
18,Preschool education,Divorced,Male,0
18,Preschool education,Divorced,Female,0
18,Preschool education,Widowed,Male,0
18,Preschool education,Widowed,Female,0
19,Preschool education,Unmarried,Male,213
19,Preschool education,Unmarried,Female,201
19,Preschool education,With Spouse,Male,2
19,Preschool education,With Spouse,Female,3
19,Preschool education,Divorced,Male,0
19,Preschool education,Divorced,Female,0
19,Preschool education,Widowed,Male,0
19,Preschool education,Widowed,Female,0
20,Preschool education,Unmarried,Male,268
20,Preschool education,Unmarried,Female,205
20,Preschool education,With Spouse,Male,3
20,Preschool education,With Spouse,Female,18
20,Preschool education,Divorced,Male,1
20,Preschool education,Divorced,Female,0
20,Preschool education,Widowed,Male,0
20,Preschool education,Widowed,Female,0
21,Preschool education,Unmarried,Male,184
21,Preschool education,Unmarried,Female,147
21,Preschool education,With Spouse,Male,5
21,Preschool education,With Spouse,Female,20
21,Preschool education,Divorced,Male,0
21,Preschool education,Divorced,Female,2
21,Preschool education,Widowed,Male,0
21,Preschool education,Widowed,Female,0
22,Preschool education,Unmarried,Male,175
22,Preschool education,Unmarried,Female,137
22,Preschool education,With Spouse,Male,12
22,Preschool education,With Spouse,Female,36
22,Preschool education,Divorced,Male,0
22,Preschool education,Divorced,Female,1
22,Preschool education,Widowed,Male,0
22,Preschool education,Widowed,Female,0
23,Preschool education,Unmarried,Male,182
23,Preschool education,Unmarried,Female,150
23,Preschool education,With Spouse,Male,16
23,Preschool education,With Spouse,Female,52
23,Preschool education,Divorced,Male,1
23,Preschool education,Divorced,Female,0
23,Preschool education,Widowed,Male,0
23,Preschool education,Widowed,Female,1
24,Preschool education,Unmarried,Male,169
24,Preschool education,Unmarried,Female,131
24,Preschool education,With Spouse,Male,22
24,Preschool education,With Spouse,Female,73
24,Preschool education,Divorced,Male,1
24,Preschool education,Divorced,Female,1
24,Preschool education,Widowed,Male,0
24,Preschool education,Widowed,Female,0
25,Preschool education,Unmarried,Male,162
25,Preschool education,Unmarried,Female,111
25,Preschool education,With Spouse,Male,47
25,Preschool education,With Spouse,Female,97
25,Preschool education,Divorced,Male,2
25,Preschool education,Divorced,Female,1
25,Preschool education,Widowed,Male,0
25,Preschool education,Widowed,Female,0
26,Preschool education,Unmarried,Male,138
26,Preschool education,Unmarried,Female,74
26,Preschool education,With Spouse,Male,43
26,Preschool education,With Spouse,Female,109
26,Preschool education,Divorced,Male,2
26,Preschool education,Divorced,Female,1
26,Preschool education,Widowed,Male,0
26,Preschool education,Widowed,Female,0
27,Preschool education,Unmarried,Male,121
27,Preschool education,Unmarried,Female,74
27,Preschool education,With Spouse,Male,58
27,Preschool education,With Spouse,Female,112
27,Preschool education,Divorced,Male,4
27,Preschool education,Divorced,Female,1
27,Preschool education,Widowed,Male,0
27,Preschool education,Widowed,Female,0
28,Preschool education,Unmarried,Male,111
28,Preschool education,Unmarried,Female,53
28,Preschool education,With Spouse,Male,65
28,Preschool education,With Spouse,Female,168
28,Preschool education,Divorced,Male,2
28,Preschool education,Divorced,Female,4
28,Preschool education,Widowed,Male,0
28,Preschool education,Widowed,Female,0
29,Preschool education,Unmarried,Male,87
29,Preschool education,Unmarried,Female,65
29,Preschool education,With Spouse,Male,85
29,Preschool education,With Spouse,Female,156
29,Preschool education,Divorced,Male,3
29,Preschool education,Divorced,Female,5
29,Preschool education,Widowed,Male,0
29,Preschool education,Widowed,Female,0
30,Preschool education,Unmarried,Male,126
30,Preschool education,Unmarried,Female,50
30,Preschool education,With Spouse,Male,113
30,Preschool education,With Spouse,Female,198
30,Preschool education,Divorced,Male,8
30,Preschool education,Divorced,Female,4
30,Preschool education,Widowed,Male,1
30,Preschool education,Widowed,Female,0
31,Preschool education,Unmarried,Male,113
31,Preschool education,Unmarried,Female,44
31,Preschool education,With Spouse,Male,145
31,Preschool education,With Spouse,Female,222
31,Preschool education,Divorced,Male,7
31,Preschool education,Divorced,Female,4
31,Preschool education,Widowed,Male,0
31,Preschool education,Widowed,Female,0
32,Preschool education,Unmarried,Male,80
32,Preschool education,Unmarried,Female,48
32,Preschool education,With Spouse,Male,117
32,Preschool education,With Spouse,Female,208
32,Preschool education,Divorced,Male,4
32,Preschool education,Divorced,Female,0
32,Preschool education,Widowed,Male,1
32,Preschool education,Widowed,Female,1
33,Preschool education,Unmarried,Male,98
33,Preschool education,Unmarried,Female,39
33,Preschool education,With Spouse,Male,113
33,Preschool education,With Spouse,Female,229
33,Preschool education,Divorced,Male,6
33,Preschool education,Divorced,Female,9
33,Preschool education,Widowed,Male,0
33,Preschool education,Widowed,Female,4
34,Preschool education,Unmarried,Male,85
34,Preschool education,Unmarried,Female,41
34,Preschool education,With Spouse,Male,155
34,Preschool education,With Spouse,Female,195
34,Preschool education,Divorced,Male,6
34,Preschool education,Divorced,Female,4
34,Preschool education,Widowed,Male,0
34,Preschool education,Widowed,Female,3
35,Preschool education,Unmarried,Male,55
35,Preschool education,Unmarried,Female,33
35,Preschool education,With Spouse,Male,113
35,Preschool education,With Spouse,Female,177
35,Preschool education,Divorced,Male,9
35,Preschool education,Divorced,Female,3
35,Preschool education,Widowed,Male,0
35,Preschool education,Widowed,Female,3
36,Preschool education,Unmarried,Male,64
36,Preschool education,Unmarried,Female,41
36,Preschool education,With Spouse,Male,124
36,Preschool education,With Spouse,Female,175
36,Preschool education,Divorced,Male,6
36,Preschool education,Divorced,Female,2
36,Preschool education,Widowed,Male,1
36,Preschool education,Widowed,Female,2
37,Preschool education,Unmarried,Male,69
37,Preschool education,Unmarried,Female,18
37,Preschool education,With Spouse,Male,125
37,Preschool education,With Spouse,Female,188
37,Preschool education,Divorced,Male,6
37,Preschool education,Divorced,Female,3
37,Preschool education,Widowed,Male,0
37,Preschool education,Widowed,Female,0
38,Preschool education,Unmarried,Male,64
38,Preschool education,Unmarried,Female,20
38,Preschool education,With Spouse,Male,143
38,Preschool education,With Spouse,Female,217
38,Preschool education,Divorced,Male,6
38,Preschool education,Divorced,Female,9
38,Preschool education,Widowed,Male,0
38,Preschool education,Widowed,Female,4
39,Preschool education,Unmarried,Male,63
39,Preschool education,Unmarried,Female,19
39,Preschool education,With Spouse,Male,97
39,Preschool education,With Spouse,Female,183
39,Preschool education,Divorced,Male,7
39,Preschool education,Divorced,Female,8
39,Preschool education,Widowed,Male,0
39,Preschool education,Widowed,Female,4
40,Preschool education,Unmarried,Male,56
40,Preschool education,Unmarried,Female,15
40,Preschool education,With Spouse,Male,113
40,Preschool education,With Spouse,Female,200
40,Preschool education,Divorced,Male,8
40,Preschool education,Divorced,Female,7
40,Preschool education,Widowed,Male,1
40,Preschool education,Widowed,Female,5
41,Preschool education,Unmarried,Male,65
41,Preschool education,Unmarried,Female,14
41,Preschool education,With Spouse,Male,132
41,Preschool education,With Spouse,Female,234
41,Preschool education,Divorced,Male,7
41,Preschool education,Divorced,Female,11
41,Preschool education,Widowed,Male,3
41,Preschool education,Widowed,Female,4
42,Preschool education,Unmarried,Male,59
42,Preschool education,Unmarried,Female,21
42,Preschool education,With Spouse,Male,125
42,Preschool education,With Spouse,Female,292
42,Preschool education,Divorced,Male,6
42,Preschool education,Divorced,Female,8
42,Preschool education,Widowed,Male,1
42,Preschool education,Widowed,Female,7
43,Preschool education,Unmarried,Male,61
43,Preschool education,Unmarried,Female,15
43,Preschool education,With Spouse,Male,154
43,Preschool education,With Spouse,Female,272
43,Preschool education,Divorced,Male,9
43,Preschool education,Divorced,Female,4
43,Preschool education,Widowed,Male,0
43,Preschool education,Widowed,Female,6
44,Preschool education,Unmarried,Male,58
44,Preschool education,Unmarried,Female,17
44,Preschool education,With Spouse,Male,170
44,Preschool education,With Spouse,Female,359
44,Preschool education,Divorced,Male,6
44,Preschool education,Divorced,Female,12
44,Preschool education,Widowed,Male,3
44,Preschool education,Widowed,Female,10
45,Preschool education,Unmarried,Male,82
45,Preschool education,Unmarried,Female,20
45,Preschool education,With Spouse,Male,179
45,Preschool education,With Spouse,Female,382
45,Preschool education,Divorced,Male,16
45,Preschool education,Divorced,Female,12
45,Preschool education,Widowed,Male,0
45,Preschool education,Widowed,Female,14
46,Preschool education,Unmarried,Male,76
46,Preschool education,Unmarried,Female,23
46,Preschool education,With Spouse,Male,216
46,Preschool education,With Spouse,Female,487
46,Preschool education,Divorced,Male,12
46,Preschool education,Divorced,Female,9
46,Preschool education,Widowed,Male,6
46,Preschool education,Widowed,Female,7
47,Preschool education,Unmarried,Male,75
47,Preschool education,Unmarried,Female,19
47,Preschool education,With Spouse,Male,225
47,Preschool education,With Spouse,Female,511
47,Preschool education,Divorced,Male,15
47,Preschool education,Divorced,Female,13
47,Preschool education,Widowed,Male,5
47,Preschool education,Widowed,Female,9
48,Preschool education,Unmarried,Male,62
48,Preschool education,Unmarried,Female,13
48,Preschool education,With Spouse,Male,272
48,Preschool education,With Spouse,Female,580
48,Preschool education,Divorced,Male,14
48,Preschool education,Divorced,Female,14
48,Preschool education,Widowed,Male,4
48,Preschool education,Widowed,Female,24
49,Preschool education,Unmarried,Male,91
49,Preschool education,Unmarried,Female,21
49,Preschool education,With Spouse,Male,307
49,Preschool education,With Spouse,Female,670
49,Preschool education,Divorced,Male,19
49,Preschool education,Divorced,Female,15
49,Preschool education,Widowed,Male,4
49,Preschool education,Widowed,Female,38
50,Preschool education,Unmarried,Male,84
50,Preschool education,Unmarried,Female,18
50,Preschool education,With Spouse,Male,317
50,Preschool education,With Spouse,Female,878
50,Preschool education,Divorced,Male,23
50,Preschool education,Divorced,Female,14
50,Preschool education,Widowed,Male,10
50,Preschool education,Widowed,Female,37
51,Preschool education,Unmarried,Male,103
51,Preschool education,Unmarried,Female,18
51,Preschool education,With Spouse,Male,364
51,Preschool education,With Spouse,Female,881
51,Preschool education,Divorced,Male,12
51,Preschool education,Divorced,Female,15
51,Preschool education,Widowed,Male,11
51,Preschool education,Widowed,Female,59
52,Preschool education,Unmarried,Male,99
52,Preschool education,Unmarried,Female,14
52,Preschool education,With Spouse,Male,447
52,Preschool education,With Spouse,Female,1087
52,Preschool education,Divorced,Male,14
52,Preschool education,Divorced,Female,14
52,Preschool education,Widowed,Male,14
52,Preschool education,Widowed,Female,76
53,Preschool education,Unmarried,Male,92
53,Preschool education,Unmarried,Female,14
53,Preschool education,With Spouse,Male,400
53,Preschool education,With Spouse,Female,991
53,Preschool education,Divorced,Male,15
53,Preschool education,Divorced,Female,13
53,Preschool education,Widowed,Male,9
53,Preschool education,Widowed,Female,81
54,Preschool education,Unmarried,Male,120
54,Preschool education,Unmarried,Female,15
54,Preschool education,With Spouse,Male,425
54,Preschool education,With Spouse,Female,1168
54,Preschool education,Divorced,Male,21
54,Preschool education,Divorced,Female,11
54,Preschool education,Widowed,Male,29
54,Preschool education,Widowed,Female,107
55,Preschool education,Unmarried,Male,84
55,Preschool education,Unmarried,Female,12
55,Preschool education,With Spouse,Male,465
55,Preschool education,With Spouse,Female,1144
55,Preschool education,Divorced,Male,17
55,Preschool education,Divorced,Female,5
55,Preschool education,Widowed,Male,18
55,Preschool education,Widowed,Female,108
56,Preschool education,Unmarried,Male,98
56,Preschool education,Unmarried,Female,18
56,Preschool education,With Spouse,Male,429
56,Preschool education,With Spouse,Female,1160
56,Preschool education,Divorced,Male,17
56,Preschool education,Divorced,Female,10
56,Preschool education,Widowed,Male,15
56,Preschool education,Widowed,Female,120
57,Preschool education,Unmarried,Male,112
57,Preschool education,Unmarried,Female,12
57,Preschool education,With Spouse,Male,484
57,Preschool education,With Spouse,Female,1427
57,Preschool education,Divorced,Male,19
57,Preschool education,Divorced,Female,22
57,Preschool education,Widowed,Male,20
57,Preschool education,Widowed,Female,180
58,Preschool education,Unmarried,Male,80
58,Preschool education,Unmarried,Female,13
58,Preschool education,With Spouse,Male,391
58,Preschool education,With Spouse,Female,1291
58,Preschool education,Divorced,Male,21
58,Preschool education,Divorced,Female,15
58,Preschool education,Widowed,Male,31
58,Preschool education,Widowed,Female,136
59,Preschool education,Unmarried,Male,37
59,Preschool education,Unmarried,Female,3
59,Preschool education,With Spouse,Male,232
59,Preschool education,With Spouse,Female,723
59,Preschool education,Divorced,Male,7
59,Preschool education,Divorced,Female,3
59,Preschool education,Widowed,Male,21
59,Preschool education,Widowed,Female,102
60,Preschool education,Unmarried,Male,61
60,Preschool education,Unmarried,Female,12
60,Preschool education,With Spouse,Male,328
60,Preschool education,With Spouse,Female,924
60,Preschool education,Divorced,Male,14
60,Preschool education,Divorced,Female,4
60,Preschool education,Widowed,Male,27
60,Preschool education,Widowed,Female,162
61,Preschool education,Unmarried,Male,84
61,Preschool education,Unmarried,Female,3
61,Preschool education,With Spouse,Male,409
61,Preschool education,With Spouse,Female,1051
61,Preschool education,Divorced,Male,18
61,Preschool education,Divorced,Female,20
61,Preschool education,Widowed,Male,33
61,Preschool education,Widowed,Female,197
62,Preschool education,Unmarried,Male,99
62,Preschool education,Unmarried,Female,7
62,Preschool education,With Spouse,Male,572
62,Preschool education,With Spouse,Female,1556
62,Preschool education,Divorced,Male,15
62,Preschool education,Divorced,Female,11
62,Preschool education,Widowed,Male,52
62,Preschool education,Widowed,Female,269
63,Preschool education,Unmarried,Male,149
63,Preschool education,Unmarried,Female,12
63,Preschool education,With Spouse,Male,706
63,Preschool education,With Spouse,Female,1938
63,Preschool education,Divorced,Male,23
63,Preschool education,Divorced,Female,17
63,Preschool education,Widowed,Male,72
63,Preschool education,Widowed,Female,386
64,Preschool education,Unmarried,Male,107
64,Preschool education,Unmarried,Female,7
64,Preschool education,With Spouse,Male,654
64,Preschool education,With Spouse,Female,1831
64,Preschool education,Divorced,Male,26
64,Preschool education,Divorced,Female,12
64,Preschool education,Widowed,Male,60
64,Preschool education,Widowed,Female,458
15,Primary School,Unmarried,Male,5518
15,Primary School,Unmarried,Female,4431
15,Primary School,With Spouse,Male,12
15,Primary School,With Spouse,Female,99
15,Primary School,Divorced,Male,0
15,Primary School,Divorced,Female,0
15,Primary School,Widowed,Male,0
15,Primary School,Widowed,Female,0
16,Primary School,Unmarried,Male,6005
16,Primary School,Unmarried,Female,4424
16,Primary School,With Spouse,Male,37
16,Primary School,With Spouse,Female,286
16,Primary School,Divorced,Male,1
16,Primary School,Divorced,Female,2
16,Primary School,Widowed,Male,0
16,Primary School,Widowed,Female,1
17,Primary School,Unmarried,Male,6849
17,Primary School,Unmarried,Female,4883
17,Primary School,With Spouse,Male,94
17,Primary School,With Spouse,Female,635
17,Primary School,Divorced,Male,4
17,Primary School,Divorced,Female,9
17,Primary School,Widowed,Male,0
17,Primary School,Widowed,Female,1
18,Primary School,Unmarried,Male,8649
18,Primary School,Unmarried,Female,5802
18,Primary School,With Spouse,Male,223
18,Primary School,With Spouse,Female,1322
18,Primary School,Divorced,Male,5
18,Primary School,Divorced,Female,16
18,Primary School,Widowed,Male,0
18,Primary School,Widowed,Female,5
19,Primary School,Unmarried,Male,10635
19,Primary School,Unmarried,Female,6609
19,Primary School,With Spouse,Male,507
19,Primary School,With Spouse,Female,2255
19,Primary School,Divorced,Male,11
19,Primary School,Divorced,Female,34
19,Primary School,Widowed,Male,0
19,Primary School,Widowed,Female,3
20,Primary School,Unmarried,Male,11556
20,Primary School,Unmarried,Female,6510
20,Primary School,With Spouse,Male,949
20,Primary School,With Spouse,Female,3843
20,Primary School,Divorced,Male,26
20,Primary School,Divorced,Female,83
20,Primary School,Widowed,Male,3
20,Primary School,Widowed,Female,6
21,Primary School,Unmarried,Male,11879
21,Primary School,Unmarried,Female,5822
21,Primary School,With Spouse,Male,1735
21,Primary School,With Spouse,Female,5505
21,Primary School,Divorced,Male,50
21,Primary School,Divorced,Female,104
21,Primary School,Widowed,Male,4
21,Primary School,Widowed,Female,8
22,Primary School,Unmarried,Male,13603
22,Primary School,Unmarried,Female,6169
22,Primary School,With Spouse,Male,2984
22,Primary School,With Spouse,Female,8052
22,Primary School,Divorced,Male,102
22,Primary School,Divorced,Female,173
22,Primary School,Widowed,Male,4
22,Primary School,Widowed,Female,17
23,Primary School,Unmarried,Male,13514
23,Primary School,Unmarried,Female,5730
23,Primary School,With Spouse,Male,4337
23,Primary School,With Spouse,Female,10037
23,Primary School,Divorced,Male,169
23,Primary School,Divorced,Female,218
23,Primary School,Widowed,Male,3
23,Primary School,Widowed,Female,17
24,Primary School,Unmarried,Male,13750
24,Primary School,Unmarried,Female,5367
24,Primary School,With Spouse,Male,6069
24,Primary School,With Spouse,Female,12513
24,Primary School,Divorced,Male,238
24,Primary School,Divorced,Female,273
24,Primary School,Widowed,Male,12
24,Primary School,Widowed,Female,29
25,Primary School,Unmarried,Male,14152
25,Primary School,Unmarried,Female,5115
25,Primary School,With Spouse,Male,8570
25,Primary School,With Spouse,Female,15972
25,Primary School,Divorced,Male,368
25,Primary School,Divorced,Female,420
25,Primary School,Widowed,Male,15
25,Primary School,Widowed,Female,30
26,Primary School,Unmarried,Male,13645
26,Primary School,Unmarried,Female,4442
26,Primary School,With Spouse,Male,10556
26,Primary School,With Spouse,Female,18374
26,Primary School,Divorced,Male,476
26,Primary School,Divorced,Female,489
26,Primary School,Widowed,Male,16
26,Primary School,Widowed,Female,38
27,Primary School,Unmarried,Male,14189
27,Primary School,Unmarried,Female,4379
27,Primary School,With Spouse,Male,14407
27,Primary School,With Spouse,Female,23174
27,Primary School,Divorced,Male,741
27,Primary School,Divorced,Female,655
27,Primary School,Widowed,Male,17
27,Primary School,Widowed,Female,64
28,Primary School,Unmarried,Male,14098
28,Primary School,Unmarried,Female,4031
28,Primary School,With Spouse,Male,17826
28,Primary School,With Spouse,Female,27666
28,Primary School,Divorced,Male,1047
28,Primary School,Divorced,Female,833
28,Primary School,Widowed,Male,27
28,Primary School,Widowed,Female,75
29,Primary School,Unmarried,Male,14231
29,Primary School,Unmarried,Female,3781
29,Primary School,With Spouse,Male,22408
29,Primary School,With Spouse,Female,32991
29,Primary School,Divorced,Male,1338
29,Primary School,Divorced,Female,976
29,Primary School,Widowed,Male,47
29,Primary School,Widowed,Female,105
30,Primary School,Unmarried,Male,16970
30,Primary School,Unmarried,Female,4270
30,Primary School,With Spouse,Male,32135
30,Primary School,With Spouse,Female,47250
30,Primary School,Divorced,Male,1969
30,Primary School,Divorced,Female,1401
30,Primary School,Widowed,Male,63
30,Primary School,Widowed,Female,176
31,Primary School,Unmarried,Male,16436
31,Primary School,Unmarried,Female,3841
31,Primary School,With Spouse,Male,36930
31,Primary School,With Spouse,Female,53236
31,Primary School,Divorced,Male,2397
31,Primary School,Divorced,Female,1697
31,Primary School,Widowed,Male,92
31,Primary School,Widowed,Female,245
32,Primary School,Unmarried,Male,14613
32,Primary School,Unmarried,Female,3327
32,Primary School,With Spouse,Male,38488
32,Primary School,With Spouse,Female,55989
32,Primary School,Divorced,Male,2717
32,Primary School,Divorced,Female,1711
32,Primary School,Widowed,Male,109
32,Primary School,Widowed,Female,284
33,Primary School,Unmarried,Male,15382
33,Primary School,Unmarried,Female,3259
33,Primary School,With Spouse,Male,45931
33,Primary School,With Spouse,Female,65918
33,Primary School,Divorced,Male,3286
33,Primary School,Divorced,Female,2125
33,Primary School,Widowed,Male,146
33,Primary School,Widowed,Female,401
34,Primary School,Unmarried,Male,13312
34,Primary School,Unmarried,Female,2715
34,Primary School,With Spouse,Male,44169
34,Primary School,With Spouse,Female,64218
34,Primary School,Divorced,Male,3360
34,Primary School,Divorced,Female,2031
34,Primary School,Widowed,Male,145
34,Primary School,Widowed,Female,365
35,Primary School,Unmarried,Male,11541
35,Primary School,Unmarried,Female,2291
35,Primary School,With Spouse,Male,42409
35,Primary School,With Spouse,Female,61788
35,Primary School,Divorced,Male,3152
35,Primary School,Divorced,Female,1868
35,Primary School,Widowed,Male,168
35,Primary School,Widowed,Female,461
36,Primary School,Unmarried,Male,11322
36,Primary School,Unmarried,Female,2254
36,Primary School,With Spouse,Male,44621
36,Primary School,With Spouse,Female,65471
36,Primary School,Divorced,Male,3349
36,Primary School,Divorced,Female,1944
36,Primary School,Widowed,Male,190
36,Primary School,Widowed,Female,561
37,Primary School,Unmarried,Male,10730
37,Primary School,Unmarried,Female,1952
37,Primary School,With Spouse,Male,46126
37,Primary School,With Spouse,Female,67468
37,Primary School,Divorced,Male,3416
37,Primary School,Divorced,Female,1946
37,Primary School,Widowed,Male,215
37,Primary School,Widowed,Female,593
38,Primary School,Unmarried,Male,12191
38,Primary School,Unmarried,Female,2175
38,Primary School,With Spouse,Male,55655
38,Primary School,With Spouse,Female,82211
38,Primary School,Divorced,Male,4259
38,Primary School,Divorced,Female,2399
38,Primary School,Widowed,Male,301
38,Primary School,Widowed,Female,816
39,Primary School,Unmarried,Male,11431
39,Primary School,Unmarried,Female,1959
39,Primary School,With Spouse,Male,55381
39,Primary School,With Spouse,Female,82987
39,Primary School,Divorced,Male,4222
39,Primary School,Divorced,Female,2364
39,Primary School,Widowed,Male,348
39,Primary School,Widowed,Female,924
40,Primary School,Unmarried,Male,10947
40,Primary School,Unmarried,Female,1815
40,Primary School,With Spouse,Male,58587
40,Primary School,With Spouse,Female,89006
40,Primary School,Divorced,Male,4395
40,Primary School,Divorced,Female,2394
40,Primary School,Widowed,Male,336
40,Primary School,Widowed,Female,1219
41,Primary School,Unmarried,Male,12631
41,Primary School,Unmarried,Female,1862
41,Primary School,With Spouse,Male,74924
41,Primary School,With Spouse,Female,109872
41,Primary School,Divorced,Male,5502
41,Primary School,Divorced,Female,3040
41,Primary School,Widowed,Male,543
41,Primary School,Widowed,Female,1589
42,Primary School,Unmarried,Male,12406
42,Primary School,Unmarried,Female,1868
42,Primary School,With Spouse,Male,79614
42,Primary School,With Spouse,Female,120340
42,Primary School,Divorced,Male,5573
42,Primary School,Divorced,Female,3232
42,Primary School,Widowed,Male,575
42,Primary School,Widowed,Female,1970
43,Primary School,Unmarried,Male,12555
43,Primary School,Unmarried,Female,1759
43,Primary School,With Spouse,Male,86639
43,Primary School,With Spouse,Female,128530
43,Primary School,Divorced,Male,5907
43,Primary School,Divorced,Female,3261
43,Primary School,Widowed,Male,794
43,Primary School,Widowed,Female,2273
44,Primary School,Unmarried,Male,14382
44,Primary School,Unmarried,Female,1910
44,Primary School,With Spouse,Male,106257
44,Primary School,With Spouse,Female,159225
44,Primary School,Divorced,Male,6774
44,Primary School,Divorced,Female,4000
44,Primary School,Widowed,Male,986
44,Primary School,Widowed,Female,3201
45,Primary School,Unmarried,Male,15145
45,Primary School,Unmarried,Female,1929
45,Primary School,With Spouse,Male,120535
45,Primary School,With Spouse,Female,181852
45,Primary School,Divorced,Male,7535
45,Primary School,Divorced,Female,4268
45,Primary School,Widowed,Male,1211
45,Primary School,Widowed,Female,3900
46,Primary School,Unmarried,Male,17025
46,Primary School,Unmarried,Female,2022
46,Primary School,With Spouse,Male,143297
46,Primary School,With Spouse,Female,216096
46,Primary School,Divorced,Male,8243
46,Primary School,Divorced,Female,4952
46,Primary School,Widowed,Male,1534
46,Primary School,Widowed,Female,5149
47,Primary School,Unmarried,Male,17147
47,Primary School,Unmarried,Female,1931
47,Primary School,With Spouse,Male,157975
47,Primary School,With Spouse,Female,238515
47,Primary School,Divorced,Male,8638
47,Primary School,Divorced,Female,4939
47,Primary School,Widowed,Male,1972
47,Primary School,Widowed,Female,6331
48,Primary School,Unmarried,Male,17462
48,Primary School,Unmarried,Female,1917
48,Primary School,With Spouse,Male,171431
48,Primary School,With Spouse,Female,263085
48,Primary School,Divorced,Male,8795
48,Primary School,Divorced,Female,5309
48,Primary School,Widowed,Male,2372
48,Primary School,Widowed,Female,7787
49,Primary School,Unmarried,Male,18039
49,Primary School,Unmarried,Female,1855
49,Primary School,With Spouse,Male,191032
49,Primary School,With Spouse,Female,289118
49,Primary School,Divorced,Male,9289
49,Primary School,Divorced,Female,5419
49,Primary School,Widowed,Male,2801
49,Primary School,Widowed,Female,9408
50,Primary School,Unmarried,Male,18362
50,Primary School,Unmarried,Female,1920
50,Primary School,With Spouse,Male,217064
50,Primary School,With Spouse,Female,331793
50,Primary School,Divorced,Male,10071
50,Primary School,Divorced,Female,5849
50,Primary School,Widowed,Male,3686
50,Primary School,Widowed,Female,12543
51,Primary School,Unmarried,Male,18082
51,Primary School,Unmarried,Female,1726
51,Primary School,With Spouse,Male,234065
51,Primary School,With Spouse,Female,343535
51,Primary School,Divorced,Male,9876
51,Primary School,Divorced,Female,5966
51,Primary School,Widowed,Male,4518
51,Primary School,Widowed,Female,15226
52,Primary School,Unmarried,Male,18798
52,Primary School,Unmarried,Female,1763
52,Primary School,With Spouse,Male,262501
52,Primary School,With Spouse,Female,387804
52,Primary School,Divorced,Male,10509
52,Primary School,Divorced,Female,6388
52,Primary School,Widowed,Male,5706
52,Primary School,Widowed,Female,19771
53,Primary School,Unmarried,Male,15582
53,Primary School,Unmarried,Female,1352
53,Primary School,With Spouse,Male,221462
53,Primary School,With Spouse,Female,328990
53,Primary School,Divorced,Male,8351
53,Primary School,Divorced,Female,4938
53,Primary School,Widowed,Male,5479
53,Primary School,Widowed,Female,19378
54,Primary School,Unmarried,Male,17426
54,Primary School,Unmarried,Female,1473
54,Primary School,With Spouse,Male,252547
54,Primary School,With Spouse,Female,369761
54,Primary School,Divorced,Male,9235
54,Primary School,Divorced,Female,5199
54,Primary School,Widowed,Male,7089
54,Primary School,Widowed,Female,24173
55,Primary School,Unmarried,Male,15803
55,Primary School,Unmarried,Female,1349
55,Primary School,With Spouse,Male,235909
55,Primary School,With Spouse,Female,351670
55,Primary School,Divorced,Male,8451
55,Primary School,Divorced,Female,4911
55,Primary School,Widowed,Male,7613
55,Primary School,Widowed,Female,26825
56,Primary School,Unmarried,Male,14654
56,Primary School,Unmarried,Female,1131
56,Primary School,With Spouse,Male,219164
56,Primary School,With Spouse,Female,336072
56,Primary School,Divorced,Male,7767
56,Primary School,Divorced,Female,4640
56,Primary School,Widowed,Male,7736
56,Primary School,Widowed,Female,29384
57,Primary School,Unmarried,Male,15907
57,Primary School,Unmarried,Female,1161
57,Primary School,With Spouse,Male,244824
57,Primary School,With Spouse,Female,375565
57,Primary School,Divorced,Male,8169
57,Primary School,Divorced,Female,4741
57,Primary School,Widowed,Male,9545
57,Primary School,Widowed,Female,36176
58,Primary School,Unmarried,Male,11063
58,Primary School,Unmarried,Female,885
58,Primary School,With Spouse,Male,185228
58,Primary School,With Spouse,Female,297904
58,Primary School,Divorced,Male,5686
58,Primary School,Divorced,Female,3508
