section,serial_number,material_type,grade,diameter,composition,unit,price
Wires and Cables,407,copper PVC -2,NH-BV,,Fire-resistant,m,1.676
Wires and Cables,408,copper PVC -4,NH-BV,,Fire-resistant,m,2.751
Wires and Cables,409,copper PVC -6,NH-BV,,Fire-resistant,m,4.094
Wires and Cables,410,copper PVC -10,NH-BV,,Fire-resistant,m,6.769
Wires and Cables,411,copper PVC -16,NH-BV,,Fire-resistant,m,10.347
Wires and Cables,412,copper PVC -25,NH-BV,,Fire-resistant,m,16.676
Wires and Cables,413,copper PVC -35,NH-BV,,Fire-resistant,m,21.694
Wires and Cables,414,copper PVC -50,NH-BV,,Fire-resistant,m,30.87
Wires and Cables,415,copper PVC -70,NH-BV,,Fire-resistant,m,43.055
Wires and Cables,416,copper PVC -95,NH-BV,,Fire-resistant,m,58.387
Wires and Cables,417,copper WL--1,BV,,Halogen-free,m,1.128
Wires and Cables,418,copper WL--2,BV,,Halogen-free,m,1.719
Wires and Cables,419,copper WL--4,BV,,Halogen-free,m,2.772
Wires and Cables,420,copper WL--6,BV,,Halogen-free,m,4.051
Wires and Cables,421,copper WL--10,BV,,Halogen-free,m,6.522
Wires and Cables,422,copper WL--16,BV,,Halogen-free,m,9.821
Wires and Cables,423,copper WL--25,BV,,Halogen-free,m,15.763
Wires and Cables,424,copper WL--35,BV,,Halogen-free,m,20.458
Wires and Cables,425,copper WL--50,BV,,Halogen-free,m,28.925
Wires and Cables,426,copper WL--70,BV,,Halogen-free,m,40.046
Wires and Cables,427,copper WL--95,BV,,Halogen-free,m,54.347
Wires and Cables,428,copper -1,BYJ(F),,Irradiated plastic,m,1.16
Wires and Cables,429,copper -2,BYJ(F),,Irradiated plastic,m,1.923
Wires and Cables,430,copper -4,BYJ(F),,Irradiated plastic,m,3.073
Wires and Cables,431,copper -6,BYJ(F),,Irradiated plastic,m,4.448
Wires and Cables,432,copper -10,BYJ(F),,Irradiated plastic,m,7.285
Wires and Cables,433,copper -16,BYJ(F),,Irradiated plastic,m,10.294
Wires and Cables,434,copper -25,BYJ(F),,Irradiated plastic,m,16.547
Wires and Cables,435,copper -35,BYJ(F),,Irradiated plastic,m,21.457
Wires and Cables,436,copper -50,BYJ(F),,Irradiated plastic,m,30.376
Wires and Cables,437,copper -70,BYJ(F),,Irradiated plastic,m,42.045
Wires and Cables,438,copper -95,BYJ(F),,Irradiated plastic,m,57.055
Wires and Cables,439,Cross-linked polyethylene,YJV,3*35+2*16,polyethylene,m,86.174
Wires and Cables,440,Cross-linked polyethylene,YJV,3*50+2*25,polyethylene,m,125.5
Wires and Cables,441,Cross-linked polyethylene,YJV,3*70+2*35,polyethylene,m,171.917
Wires and Cables,442,Cross-linked polyethylene,YJV,3*25+1*16,polyethylene,m,60.816
Wires and Cables,443,Cross-linked polyethylene,YJV,3*185+2*95,polyethylene,m,452.357
Wires and Cables,444,Low Smoke WDZ YJE,,3*50+2*25,Halogen-Free,m,131.087
Wires and Cables,445,Low Smoke WDZ YJE,,5*16,Halogen-Free,m,54.799
Wires and Cables,446,Low Smoke WDZ YJE,,4*95,Halogen-Free,m,272.919
Wires and Cables,447,Low Smoke WDZ YJE,,4*50,Halogen-Free,m,146.13
"Water, electricity, oil",448,Water,,,,m3,2.13
"Water, electricity, oil",449,Electricity,,,,kwh,0.55
"Water, electricity, oil",450,Diesel,,0#,,kg,7.943
"Water, electricity, oil",451,Diesel,,-10#,,kg,8.42
"Water, electricity, oil",452,Diesel,,-20#,,kg,8.817
"Water, electricity, oil",453,Diesel,,-35#,,kg,9.136
"Water, electricity, oil",454,Gasoline,,90#,,kg,8.653
"Water, electricity, oil",455,Gasoline,,93#,,kg,9.172
"Water, electricity, oil",456,Gasoline,,97#,,kg,9.692
"Water, electricity, oil",457,Petroleum,,90#,,t,5810.0
