industry_cn,industry_en,section_header,metric,unit,value
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.0
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",Profit Total | Total | Profits,,-0.09
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry",This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.0
"Wood Processing and Wood, Bamboo, 
  Rattan, Palm, and Grass Product Manufacturing Industry","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products","Leather, Fur, Feather (Down) and Their Products Industry","Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.03
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),7.0
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,7.93
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Added Value | added,,1.25
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Total Assets | Total | Assets,,13.66
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,5.14
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,5.04
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,9.59
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),6.59
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,9.82
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,9.49
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,3.85
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,7.5
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,6.83
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.05
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,Profit Total | Total | Profits,,-0.26
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.37
Papermaking and Paper Product Industry,Papermaking and Paper Products,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.3
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),40.0
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,19.79
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Added Value | added,,9.78
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Total Assets | Total | Assets,,29.24
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,6.99
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,9.03
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,27.11
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),15.3
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,14.4
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,12.99
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,14.84
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,19.5
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,12.96
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.25
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,Profit Total | Total | Profits,,2.27
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,1.43
Printing Industry and Reproduction of Recording Media,Printing and Record Medium Reproduction,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.72
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),1.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,0.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Added Value | added,,0.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Total Assets | Total | Assets,,0.01
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,0.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,0.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,0.01
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),0.01
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,0.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,0.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,0.01
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,0.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,0.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,Profit Total | Total | Profits,,0.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.0
"Stationery, Cultural, Educational, and Sports Goods Manufacturing Industry","Cultural, Educational and Sports Goods",Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.0
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),5.0
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,29.01
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Added Value | added,,9.2
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Total Assets | Total | Assets,,9.75
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,5.71
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,4.0
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,4.5
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),3.66
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,8.17
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,7.97
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,1.58
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,25.3
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,23.42
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.34
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,Profit Total | Total | Profits,,0.87
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,1.77
"Petroleum Processing, Coking, and Nuclear Fuel Processing Industry","Petroleum Processing, Coking and Nuclear Fuel Processing",Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.13
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),55.0
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,225.39
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Added Value | added,,80.56
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Total Assets | Total | Assets,,345.13
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,139.18
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,127.07
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,220.88
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),125.77
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,204.04
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,146.55
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,139.31
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,232.96
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,180.1
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.89
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,Profit Total | Total | Profits,,19.69
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,8.8
Chemical Raw Materials and Chemical Products Manufacturing,Raw Chemical Materials and Chemical Products,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),6.28
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),18.0
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,15.98
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Added Value | added,,6.97
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Total Assets | Total | Assets,,29.79
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,13.47
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,10.84
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,13.44
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),9.46
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,16.35
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,10.23
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,13.44
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,13.97
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,7.01
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.2
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,Profit Total | Total | Profits,,1.74
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,1.45
Pharmaceutical Manufacturing,Medical and Pharmaceutical Products,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.7
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),5.0
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,31.57
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Added Value | added,,8.63
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Total Assets | Total | Assets,,44.51
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,16.84
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,17.22
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,31.41
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),23.39
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,29.09
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,23.78
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,15.42
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,27.21
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,24.15
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.1
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,Profit Total | Total | Profits,,1.06
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.93
Chemical Fiber Manufacturing Industry,Chemical Fiber,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.91
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),2.0
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,8.63
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Added Value | added,,2.59
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Total Assets | Total | Assets,,9.02
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,4.51
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,4.25
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,3.37
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),2.25
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,7.42
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,6.79
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,1.59
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,7.69
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,6.43
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.08
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,Profit Total | Total | Profits,,0.12
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.08
Rubber Product Manufacturing,Rubber Products,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.2
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),5.0
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,0.91
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Added Value | added,,0.26
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Total Assets | Total | Assets,,1.53
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,0.93
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,0.91
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,0.98
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),0.5
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,0.62
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,0.61
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,0.91
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,0.89
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,0.74
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.0
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,Profit Total | Total | Profits,,0.0
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,0.01
Plastic Product Manufacturing Industry,Plastic Products,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),0.05
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),58.0
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,44.66
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Added Value | added,,15.12
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Total Assets | Total | Assets,,68.06
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Current assets | Total | Circulating | Funds,,29.09
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Current assets | average annual balance | Annual | Average Balance | of Circulating | Funds,,27.22
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Fixed Assets | original price | Original | of Fixed | Assets,,44.6
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Net book value of fixed assets | average annual balance | Annual Average | Balance of | Net Value of | Fixed Assets,(100 million yuan),28.68
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Total Liabilities | Total | Liabilities,,40.51
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Current Liabilities | Total | Liquid | Liabilities,,29.34
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Owner's equity | Equity | Creditors' | Equity,,27.55
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Main business operations | Income | Main | Business | Revenue,,44.42
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Main business operations | Cost | Main | Business | Cost,,36.09
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Main business operations | Taxes and Surcharges | Main | Business | Tax and | Charges,,0.34
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,Profit Total | Total | Profits,,0.85
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,This Year's Tax Payable | Value-added Tax | Value-added | Tax | Payable,,1.85
Non-metallic Mineral Products Industry,Nonmetal Mineral Products,Furniture Manufacturing Industry,"Average number of employees (10,000 people) | Average number of employees (10,000 people) | Annual Average | Employed | Persons | (10 000 persons)",(100 million yuan),2.64
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Number of Enterprises | (piece) | Number of | (unit),(unit),15.0
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Total industrial output value | Gross | Output,,347.07
Ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Ferrous Metals,Furniture Manufacturing Industry,Added Value | added,,131.85
