section_header,subsection_header,category_cn,category_en,year,percentage
Ten. Proportion of General Public Budget Expenditure,,Scientific and Technological Expenditure,Expenditure for Science and Technology,2020.0,2.65826115372263
Ten. Proportion of General Public Budget Expenditure,,Scientific and Technological Expenditure,Expenditure for Science and Technology,2021.0,3.17864417244783
Ten. Proportion of General Public Budget Expenditure,,Scientific and Technological Expenditure,Expenditure for Science and Technology,2022.0,2.58280858339035
Ten. Proportion of General Public Budget Expenditure,,Scientific and Technological Expenditure,Expenditure for Science and Technology,2023.0,2.56486643062616
Ten. Proportion of General Public Budget Expenditure,,Education Expenditure,Expenditure for Education,2015.0,20.4923767801385
Ten. Proportion of General Public Budget Expenditure,,Education Expenditure,Expenditure for Education,2018.0,19.8644730878368
Ten. Proportion of General Public Budget Expenditure,,Education Expenditure,Expenditure for Education,2019.0,20.0762056419159
Ten. Proportion of General Public Budget Expenditure,,Education Expenditure,Expenditure for Education,2020.0,20.3305602538717
Ten. Proportion of General Public Budget Expenditure,,Education Expenditure,Expenditure for Education,2021.0,20.5844832300474
Ten. Proportion of General Public Budget Expenditure,,Education Expenditure,Expenditure for Education,2022.0,21.6552020615017
Ten. Proportion of General Public Budget Expenditure,,Education Expenditure,Expenditure for Education,2023.0,21.5688745411107
Ten. Proportion of General Public Budget Expenditure,,Social Security and Employment Expenditure,Expenditure for Social Safety Net and Employment,2015.0,10.9653171020505
Ten. Proportion of General Public Budget Expenditure,,Social Security and Employment Expenditure,Expenditure for Social Safety Net and Employment,2018.0,12.4145430287096
Ten. Proportion of General Public Budget Expenditure,,Social Security and Employment Expenditure,Expenditure for Social Safety Net and Employment,2019.0,13.4512618349989
Ten. Proportion of General Public Budget Expenditure,,Social Security and Employment Expenditure,Expenditure for Social Safety Net and Employment,2020.0,14.7552160493149
Ten. Proportion of General Public Budget Expenditure,,Social Security and Employment Expenditure,Expenditure for Social Safety Net and Employment,2021.0,15.9085079401327
Ten. Proportion of General Public Budget Expenditure,,Social Security and Employment Expenditure,Expenditure for Social Safety Net and Employment,2022.0,16.1966755695654
Ten. Proportion of General Public Budget Expenditure,,Social Security and Employment Expenditure,Expenditure for Social Safety Net and Employment,2023.0,17.3406243763283
Freight Volume Ratio,,Railway,Railways,2015.0,6.10809304917119
Freight Volume Ratio,,Railway,Railways,2018.0,5.35364793306698
Freight Volume Ratio,,Railway,Railways,2019.0,6.8420715666247
Freight Volume Ratio,,Railway,Railways,2020.0,7.51360055989917
Freight Volume Ratio,,Railway,Railways,2021.0,6.86671465418991
Freight Volume Ratio,,Railway,Railways,2022.0,7.65924755368585
Freight Volume Ratio,,Railway,Railways,2023.0,7.54120307014934
Freight Volume Ratio,,Highway,Highways,2015.0,88.1947346427079
Freight Volume Ratio,,Highway,Highways,2018.0,89.5060688935801
Freight Volume Ratio,,Highway,Highways,2019.0,87.3304294290854
Freight Volume Ratio,,Highway,Highways,2020.0,86.586721187712
Freight Volume Ratio,,Highway,Highways,2021.0,87.3360926159199
Freight Volume Ratio,,Highway,Highways,2022.0,85.8069993567558
Freight Volume Ratio,,Highway,Highways,2023.0,84.9547807461177
Freight Volume Ratio,,Water Transport,Waterways,2015.0,5.69717230812091
Freight Volume Ratio,,Water Transport,Waterways,2018.0,5.14028317335292
Freight Volume Ratio,,Water Transport,Waterways,2019.0,5.8274990042899
Freight Volume Ratio,,Water Transport,Waterways,2020.0,5.89967825238881
Freight Volume Ratio,,Water Transport,Waterways,2021.0,5.79719272989023
Freight Volume Ratio,,Water Transport,Waterways,2022.0,6.53375308955832
Freight Volume Ratio,,Water Transport,Waterways,2023.0,7.50401618373297
Twelve. Postal and Telecommunications Industry,,Telephone penetration rate (including mobile phones),Popularization Rate of Telephone,2015.0,106.739137441719
Twelve. Postal and Telecommunications Industry,,Telephone penetration rate (including mobile phones),Popularization Rate of Telephone,2018.0,113.286788726804
Twelve. Postal and Telecommunications Industry,,Telephone penetration rate (including mobile phones),Popularization Rate of Telephone,2019.0,118.451477340194
Twelve. Postal and Telecommunications Industry,,Telephone penetration rate (including mobile phones),Popularization Rate of Telephone,2020.0,118.369896704378
Twelve. Postal and Telecommunications Industry,,Telephone penetration rate (including mobile phones),Popularization Rate of Telephone,2021.0,121.494234507605
Twelve. Postal and Telecommunications Industry,,Telephone penetration rate (including mobile phones),Popularization Rate of Telephone,2022.0,126.290137846005
Twelve. Postal and Telecommunications Industry,,Telephone penetration rate (including mobile phones),Popularization Rate of Telephone,2023.0,129.445212225266
(Ministry/100 people),,Mobile Phone Penetration Rate (Units/100 People),Popularization Rate of Mobile Telephone,2015.0,95.4165822015001
(Ministry/100 people),,Mobile Phone Penetration Rate (Units/100 People),Popularization Rate of Mobile Telephone,2018.0,104.888041083656
(Ministry/100 people),,Mobile Phone Penetration Rate (Units/100 People),Popularization Rate of Mobile Telephone,2019.0,106.723790817336
(Ministry/100 people),,Mobile Phone Penetration Rate (Units/100 People),Popularization Rate of Mobile Telephone,2020.0,107.305713703858
(Ministry/100 people),,Mobile Phone Penetration Rate (Units/100 People),Popularization Rate of Mobile Telephone,2021.0,110.604883583956
(Ministry/100 people),,Mobile Phone Penetration Rate (Units/100 People),Popularization Rate of Mobile Telephone,2022.0,115.129923967729
(Ministry/100 people),,Mobile Phone Penetration Rate (Units/100 People),Popularization Rate of Mobile Telephone,2023.0,118.563030414987
Thirteen. Proportion of R&D Expenditure,,Basic Research,Basic Research,2015.0,2.08419764888606
Thirteen. Proportion of R&D Expenditure,,Basic Research,Basic Research,2018.0,2.97851292343339
Thirteen. Proportion of R&D Expenditure,,Basic Research,Basic Research,2019.0,3.83618774028014
Thirteen. Proportion of R&D Expenditure,,Basic Research,Basic Research,2020.0,2.99441308203746
Thirteen. Proportion of R&D Expenditure,,Basic Research,Basic Research,2021.0,3.79220809753962
Thirteen. Proportion of R&D Expenditure,,Basic Research,Basic Research,2022.0,4.11
Thirteen. Proportion of R&D Expenditure,,Basic Research,Basic Research,2023.0,4.19048
Thirteen. Proportion of R&D Expenditure,,Applied Research,Applied Research,2015.0,5.42460311248751
Thirteen. Proportion of R&D Expenditure,,Applied Research,Applied Research,2018.0,6.76685168149957
Thirteen. Proportion of R&D Expenditure,,Applied Research,Applied Research,2019.0,6.64638540315288
Thirteen. Proportion of R&D Expenditure,,Applied Research,Applied Research,2020.0,6.63051142186322
Thirteen. Proportion of R&D Expenditure,,Applied Research,Applied Research,2021.0,6.13986152964497
Thirteen. Proportion of R&D Expenditure,,Applied Research,Applied Research,2022.0,7.51
Thirteen. Proportion of R&D Expenditure,,Applied Research,Applied Research,2023.0,7.39886
Thirteen. Proportion of R&D Expenditure,,Experimental Development,Experimental Development,2015.0,92.4911992386264
Thirteen. Proportion of R&D Expenditure,,Experimental Development,Experimental Development,2018.0,90.2541570979476
Thirteen. Proportion of R&D Expenditure,,Experimental Development,Experimental Development,2019.0,89.517426856567
Thirteen. Proportion of R&D Expenditure,,Experimental Development,Experimental Development,2020.0,90.375076090668
Thirteen. Proportion of R&D Expenditure,,Experimental Development,Experimental Development,2021.0,90.0679314012735
Thirteen. Proportion of R&D Expenditure,,Experimental Development,Experimental Development,2022.0,88.38
Thirteen. Proportion of R&D Expenditure,,Experimental Development,Experimental Development,2023.0,88.41066
Thirteen. Proportion of R&D Expenditure,,Government Funding,Government Funds,2015.0,7.77863257384085
Thirteen. Proportion of R&D Expenditure,,Government Funding,Government Funds,2018.0,8.30968167110412
Thirteen. Proportion of R&D Expenditure,,Government Funding,Government Funds,2019.0,9.80315654702106
Thirteen. Proportion of R&D Expenditure,,Government Funding,Government Funds,2020.0,8.63896674715997
Thirteen. Proportion of R&D Expenditure,,Government Funding,Government Funds,2021.0,8.90798408629865
Thirteen. Proportion of R&D Expenditure,,Government Funding,Government Funds,2022.0,8.51
Thirteen. Proportion of R&D Expenditure,,Government Funding,Government Funds,2023.0,8.26541
Thirteen. Proportion of R&D Expenditure,,Enterprise Funds,Enterprises Funds,2015.0,90.19289189879
Thirteen. Proportion of R&D Expenditure,,Enterprise Funds,Enterprises Funds,2018.0,88.8643232939343
Thirteen. Proportion of R&D Expenditure,,Enterprise Funds,Enterprises Funds,2019.0,88.6610810221962
Thirteen. Proportion of R&D Expenditure,,Enterprise Funds,Enterprises Funds,2020.0,90.3077031370745
Thirteen. Proportion of R&D Expenditure,,Enterprise Funds,Enterprises Funds,2021.0,90.0182563641857
Thirteen. Proportion of R&D Expenditure,,Enterprise Funds,Enterprises Funds,2022.0,90.1
Thirteen. Proportion of R&D Expenditure,,Enterprise Funds,Enterprises Funds,2023.0,90.19421
Healthcare and Technical Personnel,,Licensed (Assistant) Physicians,Licensed (Assistant) Doctors,2015.0,38.3270507755672
Healthcare and Technical Personnel,,Licensed (Assistant) Physicians,Licensed (Assistant) Doctors,2018.0,39.2675239433645
Healthcare and Technical Personnel,,Licensed (Assistant) Physicians,Licensed (Assistant) Doctors,2019.0,40.2745250275189
Healthcare and Technical Personnel,,Licensed (Assistant) Physicians,Licensed (Assistant) Doctors,2020.0,40.4580668297619
Healthcare and Technical Personnel,,Licensed (Assistant) Physicians,Licensed (Assistant) Doctors,2021.0,40.1898678543174
Healthcare and Technical Personnel,,Licensed (Assistant) Physicians,Licensed (Assistant) Doctors,2022.0,39.9375442832026
Healthcare and Technical Personnel,,Licensed (Assistant) Physicians,Licensed (Assistant) Doctors,2023.0,39.7851360256048
Healthcare and Technical Personnel,,Registered Nurse,Registered Nurses,2015.0,41.0845332695379
Healthcare and Technical Personnel,,Registered Nurse,Registered Nurses,2018.0,43.6953878730277
Healthcare and Technical Personnel,,Registered Nurse,Registered Nurses,2019.0,43.5949268163116
Healthcare and Technical Personnel,,Registered Nurse,Registered Nurses,2020.0,43.6846022342087
Healthcare and Technical Personnel,,Registered Nurse,Registered Nurses,2021.0,44.1264613671658
Healthcare and Technical Personnel,,Registered Nurse,Registered Nurses,2022.0,44.1708187814404
Healthcare and Technical Personnel,,Registered Nurse,Registered Nurses,2023.0,44.6687290869725
Healthcare and Technical Personnel,,"Per 10,000 people, Practicing (Assistant)",Number of Licensed (Assistant) Doctors per,2015.0,24.0328400567606
Healthcare and Technical Personnel,,"Per 10,000 people, Practicing (Assistant)",Number of Licensed (Assistant) Doctors per,2018.0,28.7820779994046
Healthcare and Technical Personnel,,"Per 10,000 people, Practicing (Assistant)",Number of Licensed (Assistant) Doctors per,2019.0,31.2080942014645
Healthcare and Technical Personnel,,"Per 10,000 people, Practicing (Assistant)",Number of Licensed (Assistant) Doctors per,2020.0,32.4097275717177
Healthcare and Technical Personnel,,"Per 10,000 people, Practicing (Assistant)",Number of Licensed (Assistant) Doctors per,2021.0,33.7178305976702
Healthcare and Technical Personnel,,"Per 10,000 people, Practicing (Assistant)",Number of Licensed (Assistant) Doctors per,2022.0,34.4
Healthcare and Technical Personnel,,"Per 10,000 people, Practicing (Assistant)",Number of Licensed (Assistant) Doctors per,2023.0,36.7403044758603
Number of Doctors        (Person),,"Medical and health institutions per 10,000 people",Number of Beds of Hospitals and Health Centers,2015.0,52.6395702412325
Number of Doctors        (Person),,"Medical and health institutions per 10,000 people",Number of Beds of Hospitals and Health Centers,2018.0,60.3796764910192
Number of Doctors        (Person),,"Medical and health institutions per 10,000 people",Number of Beds of Hospitals and Health Centers,2019.0,62.323075400752
Number of Doctors        (Person),,"Medical and health institutions per 10,000 people",Number of Beds of Hospitals and Health Centers,2020.0,63.653535684455
Number of Doctors        (Person),,"Medical and health institutions per 10,000 people",Number of Beds of Hospitals and Health Centers,2021.0,66.2655518835318
Number of Doctors        (Person),,"Medical and health institutions per 10,000 people",Number of Beds of Hospitals and Health Centers,2022.0,68.3
Number of Doctors        (Person),,"Medical and health institutions per 10,000 people",Number of Beds of Hospitals and Health Centers,2023.0,72.9532933516547
