rank,driver,car_number,car_model,sponsor,criterion,score
41,Dean Fiore,9,Porsche 996 GT3 Cup Car,Hallmarc,Lap_Time,
42,Blake Lynn,32,Porsche 996 GT3,Lynn Building Supplies,Lap_Time,
43,Malcolm Lynn,32,Porsche 996 GT3,Lynn Building Supplies,Lap_Time,
44,Claude Giorgi,29,Porsche 996 GT3 Cup Car,Buildwise,Lap_Time,
45,David Giugni,14,Porsche 996 GT3 Cup Car,Ech Ridge Wines,Lap_Time,
46,Garth Rainsbury,66,Ferrari 360 Challenge,Speed Energy Drink,Lap_Time,
47,Scott Bargwanna,99,Lotus Elise Motorsport 200,Urban Developments,Lap_Time,
48,Tim Poulton,56,Lotus Exige,Urban Arrangement,Lap_Time,
49,Angela Coradine,86,Lotus Elise,Urban Arrangement,Lap_Time,
50,Glenn Townsend,86,Lotus Elise,Urban Arrangement,Lap_Time,
51,Andrew Fisher,6,Lotus Exige,Witches Chase Cheese Co,Lap_Time,
52,Geoff Munday,10,Ford Mustang,Jim Beam Racing,Lap_Time,
1,Greg Crick,3,Dodge Viper GTS ACR,Crickcars.com,Consistency,60.0
2,Bryce Washington,1 & 54,Porsche 996 GT3 Cup Car,ADRAD Radiator Experts,Consistency,75.0
3,James Koundouris,69,Porsche 996 GT3 Cup Car,"Dare Shots
Supabarn Supermarkets",Consistency,96.0
4,Theo Koundouris,19,Porsche 996 GT3 Cup Car,"Dare Shots
Supabarn Supermarkets",Consistency,84.0
5,Sven Burchartz,90,Porsche 996 GT3,Cargraphic AG,Consistency,114.0
6,David Wall,38,Porsche 996 GT3 RSR,RDS,Consistency,
7,John Teulan,88,"Ferrari 360 Challenge
Ferrari F430 Challenge",Industry Central - Stahlwille,Consistency,48.0
8,Max Twigg,18 & 17,Porsche 996 GT3,"Twigg Waste Management
Luxton Plan",Consistency,
9,D'Arcy Russell,7,Dodge Viper GTS ACR,Dupont,Consistency,
10,David Reynolds,6 & 90,"Porsche 996 GT3 Cup Car
Porsche 996 GT3","Bob Jane T-marts
Cargraphics",Consistency,
11,Allan Simonsen,4,"Ferrari 360 GT
Porsche 996 GT3 Cup Car","Consolidated Chemical Company
Dare Shots
Supabarn Supermarkets",Consistency,
12,Paul Bolinowsky,45,Porsche 996 GT3,Bolin Racing,Consistency,54.0
13,Dave Stevens,43,"Porsche 996 GT3 Cup Car
Ferrari F430 Challenge","Bennanit
Secure Telecom",Consistency,
14,Paul Tressider,23,Porsche 996 GT3 Cup Car,Wynn Tressider Management,Consistency,
15,Mark Eddy,12,Porsche 996 GT3R,Quarterback Shirts,Consistency,
16,Damien Flack,55,Porsche 996 GT3 Cup Car,Roock,Consistency,
17,Matthew Turnbull,13,Porsche 996 GT3 Cup Car,PROMAT,Consistency,
18,Bill Pye,44,Porsche 996 GT3 Cup Car,"AutoHaus Hamilton
Property Solutions Group",Consistency,
19,Anthony Skinner,46,Porsche 996 GT3,Travelplan Ski Holiday,Consistency,69.0
20,Andrew Luxton,17 & 18,Porsche 996 GT3 Cup Car,"Luxton Plant
Twigg Waste Management",Consistency,
21,John Kaias,77,Porsche 996 GT3 Cup Car,"ABCOR
Preston General Engine",Consistency,
22,Ian Palmer,20,Honda NSX,"Instant Fountains
Paluky Ho",Consistency,
23,Ross Lilley,51,Porsche 996 GT3 Cup Car,Loala Furniture International,Consistency,
24,Kevin Miller,2,Ferrari F430,Property Solutions Group,Consistency,63.0
25,Shaun Juniper,30,Porsche 996 GT3 Cup Car,Juniper Racing,Consistency,
26,Peter Hackett,5,Lamborghini Diablo GTR,Team Lamborghini Australia,Consistency,
27,Marc Cini,9,Porsche 996 GT3 Cup Car,Hallmarc,Consistency,
28,Graeme Cook,91,Porsche 996 GT3 Cup Car,Container Solutions,Consistency,
29,Ash Samadi,55,Porsche 996 GT3 Cup Car,Rook,Consistency,
30,Greg Ward,14,Porsche 996 GT3 Cup Car,Greg Ward,Consistency,
31,Peter Lucas,99,Lotus Elise Motorsport 200,Urban Developments,Consistency,
32,Stuart Kostera,70,Porsche 996 GT3 Cup Car,PHR Scuderia,Consistency,
33,Paul Ryan,22,Lotus Exige,"Steel Force
Choice Petroleum",Consistency,45.0
34,Justin Levis,78,"Lotus Elise Motorsport 200
Porsche 996 GT3 Cup Car","CUE
AutoHaus Hamilton",Consistency,
35,Dean Lindstrom,7,Dodge Viper GTS ACR,Dupont,Consistency,
36,Maher Algadri,70,Porsche 996 GT3 Cup Car,PHR Scuderia,Consistency,
37,Andre Morriss,6,Lotus Exige,Witches Chase Cheese Co,Consistency,42.0
38,Paul Pizzati,45,Porsche 996 GT3,Bolin Racing,Consistency,
39,Neil Bryson,25,Ferrari 360 Challenge,Betterdeal.com.au,Consistency,
40,Christian D'Agostin,45,Porsche 996 GT3,Bolin Racing,Consistency,
41,Dean Fiore,9,Porsche 996 GT3 Cup Car,Hallmarc,Consistency,
42,Blake Lynn,32,Porsche 996 GT3,Lynn Building Supplies,Consistency,
43,Malcolm Lynn,32,Porsche 996 GT3,Lynn Building Supplies,Consistency,
44,Claude Giorgi,29,Porsche 996 GT3 Cup Car,Buildwise,Consistency,
45,David Giugni,14,Porsche 996 GT3 Cup Car,Ech Ridge Wines,Consistency,
46,Garth Rainsbury,66,Ferrari 360 Challenge,Speed Energy Drink,Consistency,
47,Scott Bargwanna,99,Lotus Elise Motorsport 200,Urban Developments,Consistency,
48,Tim Poulton,56,Lotus Exige,Urban Arrangement,Consistency,
49,Angela Coradine,86,Lotus Elise,Urban Arrangement,Consistency,
50,Glenn Townsend,86,Lotus Elise,Urban Arrangement,Consistency,
51,Andrew Fisher,6,Lotus Exige,Witches Chase Cheese Co,Consistency,
52,Geoff Munday,10,Ford Mustang,Jim Beam Racing,Consistency,
1,Greg Crick,3,Dodge Viper GTS ACR,Crickcars.com,Overall,90.0
2,Bryce Washington,1 & 54,Porsche 996 GT3 Cup Car,ADRAD Radiator Experts,Overall,79.5
3,James Koundouris,69,Porsche 996 GT3 Cup Car,"Dare Shots
Supabarn Supermarkets",Overall,63.0
4,Theo Koundouris,19,Porsche 996 GT3 Cup Car,"Dare Shots
Supabarn Supermarkets",Overall,63.0
5,Sven Burchartz,90,Porsche 996 GT3,Cargraphic AG,Overall,85.5
6,David Wall,38,Porsche 996 GT3 RSR,RDS,Overall,117.0
7,John Teulan,88,"Ferrari 360 Challenge
Ferrari F430 Challenge",Industry Central - Stahlwille,Overall,19.5
8,Max Twigg,18 & 17,Porsche 996 GT3,"Twigg Waste Management
Luxton Plan",Overall,66.0
9,D'Arcy Russell,7,Dodge Viper GTS ACR,Dupont,Overall,60.0
10,David Reynolds,6 & 90,"Porsche 996 GT3 Cup Car
Porsche 996 GT3","Bob Jane T-marts
Cargraphics",Overall,85.5
11,Allan Simonsen,4,"Ferrari 360 GT
Porsche 996 GT3 Cup Car","Consolidated Chemical Company
Dare Shots
Supabarn Supermarkets",Overall,
12,Paul Bolinowsky,45,Porsche 996 GT3,Bolin Racing,Overall,45.0
13,Dave Stevens,43,"Porsche 996 GT3 Cup Car
Ferrari F430 Challenge","Bennanit
Secure Telecom",Overall,
14,Paul Tressider,23,Porsche 996 GT3 Cup Car,Wynn Tressider Management,Overall,43.5
15,Mark Eddy,12,Porsche 996 GT3R,Quarterback Shirts,Overall,52.5
16,Damien Flack,55,Porsche 996 GT3 Cup Car,Roock,Overall,25.5
17,Matthew Turnbull,13,Porsche 996 GT3 Cup Car,PROMAT,Overall,
18,Bill Pye,44,Porsche 996 GT3 Cup Car,"AutoHaus Hamilton
Property Solutions Group",Overall,43.5
19,Anthony Skinner,46,Porsche 996 GT3,Travelplan Ski Holiday,Overall,
20,Andrew Luxton,17 & 18,Porsche 996 GT3 Cup Car,"Luxton Plant
Twigg Waste Management",Overall,66.0
21,John Kaias,77,Porsche 996 GT3 Cup Car,"ABCOR
Preston General Engine",Overall,
22,Ian Palmer,20,Honda NSX,"Instant Fountains
Paluky Ho",Overall,
23,Ross Lilley,51,Porsche 996 GT3 Cup Car,Loala Furniture International,Overall,
24,Kevin Miller,2,Ferrari F430,Property Solutions Group,Overall,36.0
25,Shaun Juniper,30,Porsche 996 GT3 Cup Car,Juniper Racing,Overall,
26,Peter Hackett,5,Lamborghini Diablo GTR,Team Lamborghini Australia,Overall,
27,Marc Cini,9,Porsche 996 GT3 Cup Car,Hallmarc,Overall,42.0
28,Graeme Cook,91,Porsche 996 GT3 Cup Car,Container Solutions,Overall,
29,Ash Samadi,55,Porsche 996 GT3 Cup Car,Rook,Overall,25.5
30,Greg Ward,14,Porsche 996 GT3 Cup Car,Greg Ward,Overall,30.0
31,Peter Lucas,99,Lotus Elise Motorsport 200,Urban Developments,Overall,24.0
32,Stuart Kostera,70,Porsche 996 GT3 Cup Car,PHR Scuderia,Overall,
33,Paul Ryan,22,Lotus Exige,"Steel Force
Choice Petroleum",Overall,27.0
34,Justin Levis,78,"Lotus Elise Motorsport 200
Porsche 996 GT3 Cup Car","CUE
AutoHaus Hamilton",Overall,
35,Dean Lindstrom,7,Dodge Viper GTS ACR,Dupont,Overall,60.0
36,Maher Algadri,70,Porsche 996 GT3 Cup Car,PHR Scuderia,Overall,
37,Andre Morriss,6,Lotus Exige,Witches Chase Cheese Co,Overall,9.0
38,Paul Pizzati,45,Porsche 996 GT3,Bolin Racing,Overall,45.0
39,Neil Bryson,25,Ferrari 360 Challenge,Betterdeal.com.au,Overall,
40,Christian D'Agostin,45,Porsche 996 GT3,Bolin Racing,Overall,
41,Dean Fiore,9,Porsche 996 GT3 Cup Car,Hallmarc,Overall,42.0
42,Blake Lynn,32,Porsche 996 GT3,Lynn Building Supplies,Overall,36.0
43,Malcolm Lynn,32,Porsche 996 GT3,Lynn Building Supplies,Overall,36.0
44,Claude Giorgi,29,Porsche 996 GT3 Cup Car,Buildwise,Overall,
45,David Giugni,14,Porsche 996 GT3 Cup Car,Ech Ridge Wines,Overall,30.0
46,Garth Rainsbury,66,Ferrari 360 Challenge,Speed Energy Drink,Overall,
47,Scott Bargwanna,99,Lotus Elise Motorsport 200,Urban Developments,Overall,24.0
48,Tim Poulton,56,Lotus Exige,Urban Arrangement,Overall,13.5
49,Angela Coradine,86,Lotus Elise,Urban Arrangement,Overall,12.0
50,Glenn Townsend,86,Lotus Elise,Urban Arrangement,Overall,12.0
51,Andrew Fisher,6,Lotus Exige,Witches Chase Cheese Co,Overall,9.0
52,Geoff Munday,10,Ford Mustang,Jim Beam Racing,Overall,
