column_0,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_25,column_26,column_27,column_28,column_29
176,2022-07-25 13:03:10.0,7,Western medicine,Zhengzhou Software Network Company,Big Hawthorn Granules,15g*10 bags,Box,5.0,29.8,149.0,"Baoding Traditional Chinese Medicine Pharmaceutical Co., Ltd.",Negotiation Table,10100403.0,2019.08.15,Zhu Mingwei,18903865502.0,nan,Big Hawthorn Granules,15g*10 bags,Baoding Traditional Chinese Medicine,"State Control, Hengyuan",29.8,nan,Cash quarterly return 30%,0.3,1498.0,nan
177,2022-07-25 13:03:10.0,7,Western medicine,Zhengzhou Software Network Company,Compound Xueshuantong Capsules,0.5g*30 tablets,Box,300.0,20.55,6165.0,"Guangdong Zhongsheng Pharmaceutical Co., Ltd.",Negotiation Table,10100403.0,2019.07.08,Li Kunlun,15225110649.0,Zhang Ji: 15938797039,Compound Xueshuantong Capsules,0.5g*10 tablets*10 strips,Guangdong Zhongsheng,Guokong,21.78,442 boxes/month,"A rebate of 12% per box based on the listed price will be returned in cash, primarily based on distribution channels.",0.12,331.0,nan
178,2022-07-26,7,Western medicine,Zhengzhou Linzhanshan Community Network,Atorvastatin Calcium Tablets,20mg*7 tablets*1 strip (film-coated),Box,320.0,42.77,13686.4,"Pfizer Pharmaceutical Co., Ltd.",Negotiation Table,10200113.0,2021.07.08,Shen Xiaohuan,15890192897.0,nan,Atorvastatin Calcium Tablets,20mg*7 tablets per box,"Pfizer Pharmaceutical Co., Ltd.",China Resources,35.21,nan,"6% invoice discount, starting from 2021.09.01",0.06,,nan
179,2022-07-26,7,Western medicine,Zhengzhou Linzhanshan Community Network,Bailing Capsules,0.5g*14粒*3板,Box,30.0,43.26,1297.8,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",Negotiation Table,10100100.0,2019.09.10,Liu Fangmin,13526721006.0,nan,Bailing Capsules,0.5g*42 pcs,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.","China Resources, National Control",65.05,nan,"Quarter, this policy of 3 yuan will be implemented starting from August 1st.",,72.0,nan
180,2022-07-26,7,Western medicine,Zhengzhou Linzhanshan Community Network,Ferrous Succinate Sustained-Release Tablets,0.2g*12 tablets*2 strips,Box,50.0,52.32,2616.0,"Jinling Pharmaceutical Co., Ltd. Nanjing Jinling Pharmaceutical Factory",Negotiation Table,10100100.0,2019.07.08,Ren Longfei,15738369958.0,nan,Ferrous Succinate Sustained-Release Tablets,0.2g*24 tablets,Nanjing Jinling,Guokong,56.84,188 boxes/month,"National distribution with invoice discount, 15% of the supply price will be returned within 100 days after the sale. The rebate methods include bills, acceptance or cash to the hospital. 1. At least one department meeting per month, 2. Three out-of-province meetings per year, 3. Academic exchange within the hospital.",0.15,416.0,nan
181,2022-07-26,7,Western medicine,Zhengzhou Linzhanshan Community Network,Celecoxib Capsules,0.2g*6 pills,Box,51.0,27.54,1404.54,"Pfizer Pharmaceuticals LLC (Sub-packaging Plant: Pfizer Pharmaceutical Co., Ltd.)",Negotiation Table,10200539.0,2021.07.08,Shen Xiaohuan,15890192897.0,nan,Celecoxib Capsules,0.2g*6 pcs/box,"Pfizer Pharmaceutical Co., Ltd.",China Resources,22.67,nan,"6% invoice discount, starting from 2021.09.01",0.06,,nan
182,2022-07-26,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Atorvastatin Calcium Tablets,20mg*7 tablets*1 strip (film-coated),Box,60.0,42.77,2566.2,"Pfizer Pharmaceutical Co., Ltd.",Negotiation Table,10200113.0,2021.07.08,Shen Xiaohuan,15890192897.0,nan,Atorvastatin Calcium Tablets,20mg*7 tablets per box,"Pfizer Pharmaceutical Co., Ltd.",China Resources,35.21,nan,"6% invoice discount, starting from 2021.09.01",0.06,,nan
183,2022-07-26,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Atorvastatin Calcium Tablets,20mg*7 tablets*1 strip (film-coated),Box,40.0,42.77,1710.8,"Pfizer Pharmaceutical Co., Ltd.",Negotiation Table,10200113.0,2021.07.08,Shen Xiaohuan,15890192897.0,nan,Atorvastatin Calcium Tablets,20mg*7 tablets per box,"Pfizer Pharmaceutical Co., Ltd.",China Resources,35.21,nan,"6% invoice discount, starting from 2021.09.01",0.06,,nan
184,2022-07-26,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Bailing Capsules,0.5g*14粒*3板,Box,10.0,43.26,432.6,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",Negotiation Table,10100100.0,2019.09.10,Liu Fangmin,13526721006.0,nan,Bailing Capsules,0.5g*42 pcs,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.","China Resources, National Control",65.05,nan,"Quarter, this policy of 3 yuan will be implemented starting from August 1st.",,72.0,nan
185,2022-07-26,7,Western medicine,Zhengzhou Jinshui District Nanyang Xincun Community Network,Amlodipine Besylate Tablets,5mg*7 tablets,Box,30.0,24.01,720.3,"Pfizer Pharmaceutical Co., Ltd.",Negotiation Table,10200176.0,2021.07.08,Shen Xiaohuan,15890192897.0,nan,Amlodipine Besylate Tablets,5mg*7 tablets/box,"Pfizer Pharmaceutical Co., Ltd.",China Resources,19.77,nan,"6% invoice discount, starting from 2021.09.01",0.06,,nan
186,2022-07-26,7,Western medicine,Zhengzhou Linzhanshan Community Network,Celecoxib Capsules,0.2g*6 pills,Box,30.0,27.54,826.2,"Pfizer Pharmaceuticals LLC (Sub-packaging Plant: Pfizer Pharmaceutical Co., Ltd.)",Negotiation Table,10200539.0,2021.07.08,Shen Xiaohuan,15890192897.0,nan,Celecoxib Capsules,0.2g*6 pcs/box,"Pfizer Pharmaceutical Co., Ltd.",China Resources,22.67,nan,"6% invoice discount, starting from 2021.09.01",0.06,,nan
187,2022-07-26,7,Western medicine,Zhengzhou Linzhanshan Community Network,Shengxuebao Mixture,100ml*1 bottle,Box,20.0,56.05,1121.0,"Qinghua Deren Xi'an Xingfu Pharmaceutical Co., Ltd.",Negotiation Table,10100177.0,2020.11.10,You Junying,13938555051.0,nan,Shengxuebao Mixture,100ml,Xi'an,China National Pharmaceutical Group,56.05,nan,"Cash monthly return 30%, clinical 4 yuan",0.3,,nan
188,2022-07-26,7,Western medicine,Zhengzhou Meifang Road Community Network,Atorvastatin Calcium Tablets,20mg*7 tablets*1 strip (film-coated),Box,320.0,42.77,13686.4,"Pfizer Pharmaceutical Co., Ltd.",Negotiation Table,10200113.0,2021.07.08,Shen Xiaohuan,15890192897.0,nan,Atorvastatin Calcium Tablets,20mg*7 tablets per box,"Pfizer Pharmaceutical Co., Ltd.",China Resources,35.21,nan,"6% invoice discount, starting from 2021.09.01",0.06,,nan
189,2022-07-26,7,Western medicine,Zhengzhou Meifang Road Community Network,Bailing Capsules,0.5g*14粒*3板,Box,200.0,43.26,8652.0,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",Negotiation Table,10100100.0,2019.09.10,Liu Fangmin,13526721006.0,nan,Bailing Capsules,0.5g*42 pcs,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.","China Resources, National Control",65.05,nan,"Quarter, this policy of 3 yuan will be implemented starting from August 1st.",,72.0,nan
190,2022-07-26,7,Western medicine,Zhengzhou Meifang Road Community Network,Butylphthalide Sodium Chloride Injection,100ml: Butylphthalide 25mg and Sodium Chloride 0.9g,Bottle,50.0,139.0,6950.0,"Shiyao Group Enbipu Pharmaceutical Co., Ltd.",Negotiation Table,10200127.0,2020.07.21,Liu Chen,13663860491.0,nan,Butylphthalide Sodium Chloride Injection,100ml/bottle,"Shiyao Group Enbipu Pharmaceutical Co., Ltd.","China Resources, National Control",285.3,nan,"60 days return, cash 5%",0.05,1504.0,nan
191,2022-07-26,7,Western medicine,Zhengzhou Meifang Road Community Network,Gui Zhi Fu Ling Capsules,0.31g*10 tablets*5 strips*2 bags,Box,80.0,51.8,4144.0,"Jiangsu Kangyuan Pharmaceutical Co., Ltd.",Negotiation Table,10200127.0,2019.06.10,He Jiahuan,18036636012.0,nan,Gui Zhi Fu Ling Capsules,50 grains,Jiangsu Kangyuan Pharmaceutical,"State Control, CRHC",26.92,nan,"2.5 RMB per box, quarterly return, cash",,,nan
192,2022-07-26,7,Western medicine,Zhengzhou Meifang Road Community Network,Gui Zhi Fu Ling Capsules,0.31g*10 tablets*5 strips*2 bags,Box,80.0,51.8,4144.0,"Jiangsu Kangyuan Pharmaceutical Co., Ltd.",Negotiation Table,10100052.0,2019.06.10,He Jiahuan,18036636012.0,nan,Gui Zhi Fu Ling Capsules,100 grains,Jiangsu Kangyuan Pharmaceutical,"State Control, CRHC",51.8,148 boxes/month,"5 USD/box, quarterly return, cash",,399.0,nan
193,2022-07-26,7,Western medicine,Zhengzhou Meifang Road Community Network,Yin Dan Xinnao Tong Soft Capsules,0.4g*12粒*3板,Box,100.0,29.75,2975.0,"Guizhou Baibing Enterprise Group Pharmaceutical Co., Ltd.",Negotiation Table,10100091.0,2019.06.10,Liu Jia,18838085722.0,18838085722,Yin Dan Xinnao Tong Soft Capsules,0.4g¡Á36S,Guizhou Bailing,China Resources,29.8,490 boxes/month,"Cash quarterly return, 4 yuan per box",,1249.0,nan
194,2022-07-26,7,Western medicine,Zhengzhou Meifang Road Community Network,Lactulose Oral Solution,10ml:5g*12 vials,Box,30.0,89.0,2670.0,"Dalian Meiluo Traditional Chinese Medicine Factory Co., Ltd.",Negotiation Table,10200715.0,2021.01.26,Ma Yong,13803836772.0,nan,Lactulose Oral Solution,10ml: 5g*12 vials / box,"Dalian Meiluo Traditional Chinese Medicine Factory Co., Ltd.",Guokong,89.0,nan,"Cash, monthly return 44%, clinical 12",0.44,1696.0,nan
195,2022-07-26 08:54:50.0,7,Western medicine,Zhengzhou Meifang Road Community Network,Polysaccharide Iron Complex Capsules,0.15g*10 tablets*1 strip,Box,50.0,28.56,1428.0,"Shanghai Pharmaceutical Group Qingdao Guofeng Pharmaceutical Co., Ltd.",Negotiation Table,10200207.0,2019.07.02,Zhao Pei,18737109559.0,Re-sign rebate 5 yuan,Polysaccharide Iron Complex Capsules,0.15g*10s,"Shanghai Pharmaceutical Group Qingdao Guofeng Pharmaceutical Co., Ltd.",China Resources,28.56,1174 boxes/month,"A return of 5 yuan per box, cash monthly return",,226.0,nan
196,2022-07-26 09:22:58.0,7,Western medicine,Zhengzhou Software Network Company,Calcium Acetate Granules,0.6g*12 bags (sugar-containing type),Box,200.0,54.0,10800.0,"Kunming Bangyu Pharmaceutical Co., Ltd.",Negotiation Table,10200930.0,2020.07.02,Wu Xiaofang,18237107185.0,nan,Calcium Acetate Granules,0.6g*12 bags/box*200 boxes/piece,"Kunming Bangyu Pharmaceutical Co., Ltd.",Guokong,54.0,nan,"27%, cash, monthly return, 30% newly signed in December 2020",0.3,158.0,nan
197,2022-07-26 09:53:03.0,7,Western medicine,Zhengzhou Meifang Road Community Network,Baohe Pills,240 pills (3g of raw herbal medicine/8 pills),Bottle,50.0,26.06,1303.0,"Zhongjing Wanyi Pharmaceutical Co., Ltd.",Negotiation Table,10200930.0,2020.08.10,Yang Xubin,13733159829.0,nan,Baohe Pills,240 grains,Wanxi,"China Resources, Hengyuan",25.8,nan,Cash monthly return 10%,0.1,82.0,nan
198,2022-07-27,7,Western medicine,Zhengzhou Dongfeng Road Yuantian Community Network,Cefixime Granules,50mg*12 Bags,Box,50.0,25.0,1250.0,"Chengdu Better Pharmaceutical Co., Ltd.",Negotiation Table,10200607.0,2020.05.07,Cheng Yuanli,17337680138.0,nan,Cefixime Granules,50mg*12 Bags,"Chengdu Better (Note: ""倍特"" is translated as ""Better"" based on common transliteration practices for company names)",Guokong,25.0,nan,Cash return monthly return 33.7%,0.337,946.0,nan
199,2022-07-27,7,Western medicine,Zhengzhou Dongfeng Road Yuantian Community Network,Yin Dan Xinnao Tong Soft Capsules,0.4g*12粒*3板,Box,100.0,29.75,2975.0,"Guizhou Baibing Enterprise Group Pharmaceutical Co., Ltd.",Negotiation Table,10100091.0,2019.06.10,Liu Jia,18838085722.0,18838085722,Yin Dan Xinnao Tong Soft Capsules,0.4g¡Á36S,Guizhou Bailing,China Resources,29.8,490 boxes/month,"Cash quarterly return, 4 yuan per box",,1249.0,nan
200,2022-07-27,7,Western medicine,Zhengzhou Dongfeng Road Yuantian Community Network,Yin Dan Xinnao Tong Soft Capsules,0.4g*12粒*3板,Box,100.0,29.75,2975.0,"Guizhou Baibing Enterprise Group Pharmaceutical Co., Ltd.",Negotiation Table,10100091.0,2019.06.10,Liu Jia,18838085722.0,18838085722,Yin Dan Xinnao Tong Soft Capsules,0.4g¡Á36S,Guizhou Bailing,China Resources,29.8,490 boxes/month,"Cash quarterly return, 4 yuan per box",,1249.0,nan
201,2022-07-27,7,Western medicine,Zhengzhou Dongfeng Road Yuantian Community Network,Leyunning Granules,5g*12 bags,Box,30.0,34.5,1035.0,"Jiangxi Xinglin BaMa Pharmaceutical Co., Ltd.",Negotiation Table,10100265.0,2019.05.08,Wang Jing,18037147831.0,Salesperson Wang Chen 13213217337,Leyunning Granules,5g x 12 bags,Jiangxi Xinglin Ba Ma Pharmaceutical,Guokong,33.1,nan,"Within 100 days after the sale occurs, return 20% of the supply price in cash form.",0.2,549.0,nan
202,2022-07-27,7,Western medicine,Zhengzhou Fengchan Road Loke Shequ Network,Butylphthalide Soft Capsules,0.1g*24 pieces,Bottle,78.0,80.64,6289.92,"Shiyao Group Enbipu Pharmaceutical Co., Ltd.",Negotiation Table,10100265.0,2020.07.21,Liu Chen,13663860491.0,nan,Butylphthalide Soft Capsules,24 pills per box,"Shiyao Group Enbipu Pharmaceutical Co., Ltd.","China Resources, National Control",181.8,nan,"60 days return, cash 5%",0.05,207.0,nan
203,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Atorvastatin Calcium Tablets,20mg*7 tablets*1 strip (film-coated),Box,50.0,42.77,2138.5,"Pfizer Pharmaceutical Co., Ltd.",Negotiation Table,10200113.0,2021.07.08,Shen Xiaohuan,15890192897.0,nan,Atorvastatin Calcium Tablets,20mg*7 tablets per box,"Pfizer Pharmaceutical Co., Ltd.",China Resources,35.21,nan,"6% invoice discount, starting from 2021.09.01",0.06,,nan
204,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Atorvastatin Calcium Tablets,20mg*7 tablets*1 strip (film-coated),Box,100.0,42.77,4277.0,"Pfizer Pharmaceutical Co., Ltd.",Negotiation Table,10200113.0,2021.07.08,Shen Xiaohuan,15890192897.0,nan,Atorvastatin Calcium Tablets,20mg*7 tablets per box,"Pfizer Pharmaceutical Co., Ltd.",China Resources,35.21,nan,"6% invoice discount, starting from 2021.09.01",0.06,,nan
205,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Bailing Capsules,0.5g*14粒*3板,Box,30.0,43.26,1297.8,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",Negotiation Table,10100100.0,2019.09.10,Liu Fangmin,13526721006.0,nan,Bailing Capsules,0.5g*42 pcs,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.","China Resources, National Control",65.05,nan,"Quarter, this policy of 3 yuan will be implemented starting from August 1st.",,72.0,nan
206,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Amlodipine Besylate Tablets,5mg*7 tablets,Box,20.0,24.01,480.2,"Pfizer Pharmaceutical Co., Ltd.",Negotiation Table,10200176.0,2021.07.08,Shen Xiaohuan,15890192897.0,nan,Amlodipine Besylate Tablets,5mg*7 tablets/box,"Pfizer Pharmaceutical Co., Ltd.",China Resources,19.77,nan,"6% invoice discount, starting from 2021.09.01",0.06,,nan
207,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Ferrous Succinate Sustained-Release Tablets,0.2g*12 tablets*2 strips,Box,150.0,52.32,7848.0,"Jinling Pharmaceutical Co., Ltd. Nanjing Jinling Pharmaceutical Factory",Negotiation Table,10200176.0,2019.07.08,Ren Longfei,15738369958.0,nan,Ferrous Succinate Sustained-Release Tablets,0.2g*24 tablets,Nanjing Jinling,Guokong,56.84,188 boxes/month,"National distribution with invoice discount, 15% of the supply price will be returned within 100 days after the sale. The rebate methods include bills, acceptance or cash to the hospital. 1. At least one department meeting per month, 2. Three out-of-province meetings per year, 3. Academic exchange within the hospital.",0.15,416.0,nan
208,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Bifidobacterium Quadruple Live Bacteria Tablets,0.5g*15 tablets*2 strips,Box,100.0,31.07,3107.0,"Hangzhou Yuanda Bio-Pharmaceutical Co., Ltd.",Negotiation Table,10400015.0,2019.07.08,Ma Yuxiang,15617766386.0,nan,Bifidobacterium Quadruple Live Bacteria Tablets,0.5g*30 tablets,Hangzhou Yuanda,China Resources,31.07,nan,0.18,18.0,,nan
209,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Benzalkonium Chloride Solution,150ml:0.15g(0.10%),Bottle,48.0,46.0,2208.0,"Guangdong Luosite Pharmaceutical Co., Ltd.",Negotiation Table,10200218.0,2021.02.08,Zhang Yabo,18638767729.0,nan,Benzalkonium Chloride Solution,0.1%：150ml：0.15g,"Guangdong Luosite Pharmaceutical Co., Ltd.",nan,,No agreement signed,Cash monthly return 7%,0.07,95.0,nan
210,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Benzalkonium Chloride Solution,150ml:0.15g(0.10%),Bottle,32.0,46.0,1472.0,"Guangdong Luosite Pharmaceutical Co., Ltd.",Negotiation Table,10200218.0,2021.02.08,Zhang Yabo,18638767729.0,nan,Benzalkonium Chloride Solution,0.1%：150ml：0.15g,"Guangdong Luosite Pharmaceutical Co., Ltd.",nan,,No agreement signed,Cash monthly return 7%,0.07,95.0,nan
211,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Fu Kang Pill,9g*10 bags (Fukang Pills) + 7.5g*2 bags (Tongqi Pills),Box,300.0,81.5,24450.0,"Henan Taifeng Biotechnology Co., Ltd.",Negotiation Table,10100273.0,2020.08.03,Li Yanyan,13623825356.0,nan,Fu Kang Pill,9g*10 bags + 7.5g*2 bags,"Henan Taifeng Biotechnology Co., Ltd.","China Resources, National Control, Provincial Pharmaceutical",81.5,nan,"Cash monthly return, 40%, starting from July 2020",0.4,1616.0,nan
212,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Gui Zhi Fu Ling Capsules,0.31g*10 tablets*5 strips*2 bags,Box,150.0,51.8,7770.0,"Jiangsu Kangyuan Pharmaceutical Co., Ltd.",Negotiation Table,10100273.0,2019.06.10,He Jiahuan,18036636012.0,nan,Gui Zhi Fu Ling Capsules,50 grains,Jiangsu Kangyuan Pharmaceutical,"State Control, CRHC",26.92,nan,"2.5 RMB per box, quarterly return, cash",,,nan
213,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Gui Zhi Fu Ling Capsules,0.31g*10 tablets*5 strips*2 bags,Box,150.0,51.8,7770.0,"Jiangsu Kangyuan Pharmaceutical Co., Ltd.",Negotiation Table,10100052.0,2019.06.10,He Jiahuan,18036636012.0,nan,Gui Zhi Fu Ling Capsules,100 grains,Jiangsu Kangyuan Pharmaceutical,"State Control, CRHC",51.8,148 boxes/month,"5 USD/box, quarterly return, cash",,399.0,nan
214,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Ferrous Succinate Sustained-Release Tablets,0.2g*12 tablets*2 strips,Box,200.0,52.32,10464.0,"Jinling Pharmaceutical Co., Ltd. Nanjing Jinling Pharmaceutical Factory",Negotiation Table,10100052.0,2019.07.08,Ren Longfei,15738369958.0,nan,Ferrous Succinate Sustained-Release Tablets,0.2g*24 tablets,Nanjing Jinling,Guokong,56.84,188 boxes/month,"National distribution with invoice discount, 15% of the supply price will be returned within 100 days after the sale. The rebate methods include bills, acceptance or cash to the hospital. 1. At least one department meeting per month, 2. Three out-of-province meetings per year, 3. Academic exchange within the hospital.",0.15,416.0,nan
215,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Butylphthalide Sodium Chloride Injection,100ml: Butylphthalide 25mg and Sodium Chloride 0.9g,Bottle,80.0,139.0,11120.0,"Shiyao Group Enbipu Pharmaceutical Co., Ltd.",Negotiation Table,10200127.0,2020.07.21,Liu Chen,13663860491.0,nan,Butylphthalide Sodium Chloride Injection,100ml/bottle,"Shiyao Group Enbipu Pharmaceutical Co., Ltd.","China Resources, National Control",285.3,nan,"60 days return, cash 5%",0.05,1504.0,nan
216,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Ferrous Succinate Sustained-Release Tablets,0.2g*12 tablets*2 strips,Box,100.0,52.32,5232.0,"Jinling Pharmaceutical Co., Ltd. Nanjing Jinling Pharmaceutical Factory",Negotiation Table,10200127.0,2019.07.08,Ren Longfei,15738369958.0,nan,Ferrous Succinate Sustained-Release Tablets,0.2g*24 tablets,Nanjing Jinling,Guokong,56.84,188 boxes/month,"National distribution with invoice discount, 15% of the supply price will be returned within 100 days after the sale. The rebate methods include bills, acceptance or cash to the hospital. 1. At least one department meeting per month, 2. Three out-of-province meetings per year, 3. Academic exchange within the hospital.",0.15,416.0,nan
217,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Xinmailong Injection,2ml:100mg,piece,522.0,26.0,13572.0,"Yunnan Tengyao Pharmaceutical Co., Ltd.",Negotiation Table,10100227.0,2019.06.10,Guo Shi Yi,13014553304.0,nan,Xinmailong Injection,2ml*6,Yunnan Tengyao,China Resources,69.21,137 boxes/month,"Each vial returns 6.92 yuan, quarterly, in cash. On 2021.01.01, it was changed to return 16.91 yuan. Starting from March 1, 2021, the price per vial was reduced to 26 yuan, with a rebate of 2.94 yuan per vial.",,1071.0,nan
218,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Xinmailong Injection,2ml:100mg,piece,78.0,26.0,2028.0,"Yunnan Tengyao Pharmaceutical Co., Ltd.",Negotiation Table,10100227.0,2019.06.10,Guo Shi Yi,13014553304.0,nan,Xinmailong Injection,2ml*6,Yunnan Tengyao,China Resources,69.21,137 boxes/month,"Each vial returns 6.92 yuan, quarterly, in cash. On 2021.01.01, it was changed to return 16.91 yuan. Starting from March 1, 2021, the price per vial was reduced to 26 yuan, with a rebate of 2.94 yuan per vial.",,1071.0,nan
219,2022-07-27,7,Western medicine,Zhengzhou Meifang Road Community Network,Si Mo Tang Oral Liquid,10ml*10 vials,Box,60.0,20.05,1203.0,"Hunan Hansen Pharmaceutical Co., Ltd.",Negotiation Table,10100135.0,2019.12.25,Zhang Ming,13137367037.0,Responsible for the community,Si Mo Tang Oral Liquid,10ml*10 vials,Hunan Hansen,"China Resources, National Control, Guohua",20.17,nan,"Community, monthly return, cash, 1 yuan per box, starting from November",,899.0,nan
220,2022-07-27,7,Western medicine,Zhengzhou Meifang Road Community Network,Yiqi Hawei Capsules,0.5g*12 tablets*3 strips,Box,100.0,45.11,4511.0,"Hefei Liff Pharmaceutical Co., Ltd.",Negotiation Table,10100135.0,2019.12.25,Liu Jia,18838085722.0,nan,Yiqi Hawei Capsules,0.5g¡Á36S,Hefei Lubei,China Resources,45.11,10 boxes/month,"Cash quarterly return, 5 yuan per box",,1244.0,nan
221,2022-07-27,7,Western medicine,Zhengzhou Fengchan Road Loke Shequ Network,Bailing Capsules,0.5g*14粒*3板,Box,50.0,43.26,2163.0,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",Negotiation Table,10100100.0,2019.09.10,Liu Fangmin,13526721006.0,nan,Bailing Capsules,0.5g*42 pcs,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.","China Resources, National Control",65.05,nan,"Quarter, this policy of 3 yuan will be implemented starting from August 1st.",,72.0,nan
222,2022-07-27,7,Western medicine,Zhengzhou Fengchan Road Loke Shequ Network,Ceftriaxone Sodium for Injection,1.0g,Bottle,1200.0,29.6,35520.0,"Chengdu Better Pharmaceutical Co., Ltd.",Negotiation Table,10200535.0,2020.11.10,You Junying,13938555051.0,nan,Ceftriaxone Sodium for Injection,1g,"Chengdu Better (Note: ""倍特"" is translated as ""Better"" based on common transliteration practices for company names)",China National Pharmaceutical Group,37.48,nan,"Cash 50%, Clinical Fee 5 yuan",0.5,,nan
223,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Intepirdine Injection,4ml：40mg,piece,600.0,15.6,9360.0,"Nanjing Hengsheng Pharmaceutical Co., Ltd.",Negotiation Table,10200191.0,2020.07.21,Gai Chang,18137336922.0,nan,Intepirdine Injection,4ml*40mg,"Nanjing Hengsheng Pharmaceutical Co., Ltd.",Guokong,15.6,nan,20% per box returned in cash quarterly,0.2,462.0,nan
224,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Leyunning Granules,5g*12 bags,Box,200.0,34.5,6900.0,"Jiangxi Xinglin BaMa Pharmaceutical Co., Ltd.",Negotiation Table,10100265.0,2019.05.08,Wang Jing,18037147831.0,Salesperson Wang Chen 13213217337,Leyunning Granules,5g x 12 bags,Jiangxi Xinglin Ba Ma Pharmaceutical,Guokong,33.1,nan,"Within 100 days after the sale occurs, return 20% of the supply price in cash form.",0.2,549.0,nan
225,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Leyunning Granules,5g*12 bags,Box,26.0,34.5,897.0,"Jiangxi Xinglin BaMa Pharmaceutical Co., Ltd.",Negotiation Table,10100265.0,2019.05.08,Wang Jing,18037147831.0,Salesperson Wang Chen 13213217337,Leyunning Granules,5g x 12 bags,Jiangxi Xinglin Ba Ma Pharmaceutical,Guokong,33.1,nan,"Within 100 days after the sale occurs, return 20% of the supply price in cash form.",0.2,549.0,nan
226,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Leyunning Granules,5g*12 bags,Box,144.0,34.5,4968.0,"Jiangxi Xinglin BaMa Pharmaceutical Co., Ltd.",Negotiation Table,10100265.0,2019.05.08,Wang Jing,18037147831.0,Salesperson Wang Chen 13213217337,Leyunning Granules,5g x 12 bags,Jiangxi Xinglin Ba Ma Pharmaceutical,Guokong,33.1,nan,"Within 100 days after the sale occurs, return 20% of the supply price in cash form.",0.2,549.0,nan
227,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Qingzhu Qudu Pills,8g*9 bags (0.13g/10 pills concentrated water pills),Box,150.0,54.0,8100.0,"Guangxi Qingzhipin Pharmaceutical Co., Ltd.",Negotiation Table,10100266.0,2019.05.08,Wang Jing,18037147831.0,Salesperson Wang Chen 13213217337,Qingzhu Qudu Pills,8g x 9 bags,"Guangxi Qingzhipin Pharmaceutical Co., Ltd.",Guokong,54.0,nan,"Within 100 days after the sale occurs, return 20% of the supply price in cash form.",0.2,800.0,nan
228,2022-07-27,7,Western medicine,Zhengzhou Software Network Company,Shengxuebao Mixture,100ml*1 bottle,Box,40.0,56.05,2242.0,"Qinghua Deren Xi'an Xingfu Pharmaceutical Co., Ltd.",Negotiation Table,10100177.0,2020.11.10,You Junying,13938555051.0,nan,Shengxuebao Mixture,100ml,Xi'an,China National Pharmaceutical Group,56.05,nan,"Cash monthly return 30%, clinical 4 yuan",0.3,,nan
229,2022-07-27,7,Western medicine,Zhengzhou Dongfeng Road Yuantian Community Network,Gui Zhi Fu Ling Capsules,0.31g*10 tablets*5 strips*2 bags,Box,10.0,51.8,518.0,"Jiangsu Kangyuan Pharmaceutical Co., Ltd.",Negotiation Table,10100177.0,2019.06.10,He Jiahuan,18036636012.0,nan,Gui Zhi Fu Ling Capsules,50 grains,Jiangsu Kangyuan Pharmaceutical,"State Control, CRHC",26.92,nan,"2.5 RMB per box, quarterly return, cash",,,nan
