age,household_registration_location,sex,count
82,Out-of-province,Female,32255
83,Total,Male,277262
83,Total,Female,333409
83,Province,Male,253067
83,Province,Female,306171
83,"Among them, the separation of household registration and residence within the district",Male,105552
83,"Among them, the separation of household registration and residence within the district",Female,135052
83,Out-of-province,Male,24195
83,Out-of-province,Female,27238
84,Total,Male,247069
84,Total,Female,310947
84,Province,Male,226068
84,Province,Female,286181
84,"Among them, the separation of household registration and residence within the district",Male,96349
84,"Among them, the separation of household registration and residence within the district",Female,127531
84,Out-of-province,Male,21001
84,Out-of-province,Female,24766
85-89 years old,Total,Male,783505
85-89 years old,Total,Female,1038470
85-89 years old,Province,Male,722206
85-89 years old,Province,Female,963094
85-89 years old,"Among them, the separation of household registration and residence within the district",Male,308133
85-89 years old,"Among them, the separation of household registration and residence within the district",Female,432488
85-89 years old,Out-of-province,Male,61299
85-89 years old,Out-of-province,Female,75376
85,Total,Male,206263
85,Total,Female,273892
85,Province,Male,189257
85,Province,Female,252968
85,"Among them, the separation of household registration and residence within the district",Male,81745
85,"Among them, the separation of household registration and residence within the district",Female,114400
85,Out-of-province,Male,17006
85,Out-of-province,Female,20924
86,Total,Male,179539
86,Total,Female,240954
86,Province,Male,164975
86,Province,Female,222904
86,"Among them, the separation of household registration and residence within the district",Male,70956
86,"Among them, the separation of household registration and residence within the district",Female,100326
86,Out-of-province,Male,14564
86,Out-of-province,Female,18050
87,Total,Male,166734
87,Total,Female,219240
87,Province,Male,153919
87,Province,Female,203655
87,"Among them, the separation of household registration and residence within the district",Male,64993
87,"Among them, the separation of household registration and residence within the district",Female,91389
87,Out-of-province,Male,12815
87,Out-of-province,Female,15585
88,Total,Male,125545
88,Total,Female,168317
88,Province,Male,116243
88,Province,Female,156632
88,"Among them, the separation of household registration and residence within the district",Male,49942
88,"Among them, the separation of household registration and residence within the district",Female,70454
88,Out-of-province,Male,9302
88,Out-of-province,Female,11685
89,Total,Male,105424
89,Total,Female,136067
89,Province,Male,97812
89,Province,Female,126935
89,"Among them, the separation of household registration and residence within the district",Male,40497
89,"Among them, the separation of household registration and residence within the district",Female,55919
89,Out-of-province,Male,7612
89,Out-of-province,Female,9132
90-94 years old,Total,Male,277078
90-94 years old,Total,Female,388232
90-94 years old,Province,Male,257996
90-94 years old,Province,Female,363521
90-94 years old,"Among them, the separation of household registration and residence within the district",Male,104043
90-94 years old,"Among them, the separation of household registration and residence within the district",Female,157845
90-94 years old,Out-of-province,Male,19082
90-94 years old,Out-of-province,Female,24711
90,Total,Male,93201
90,Total,Female,122489
90,Province,Male,86466
90,Province,Female,114440
90,"Among them, the separation of household registration and residence within the district",Male,35903
90,"Among them, the separation of household registration and residence within the district",Female,49975
90,Out-of-province,Male,6735
90,Out-of-province,Female,8049
91,Total,Male,62619
91,Total,Female,88765
91,Province,Male,58303
91,Province,Female,83142
91,"Among them, the separation of household registration and residence within the district",Male,24212
91,"Among them, the separation of household registration and residence within the district",Female,36948
91,Out-of-province,Male,4316
91,Out-of-province,Female,5623
92,Total,Male,53185
92,Total,Female,76665
92,Province,Male,49656
92,Province,Female,71900
92,"Among them, the separation of household registration and residence within the district",Male,19789
92,"Among them, the separation of household registration and residence within the district",Female,31293
92,Out-of-province,Male,3529
92,Out-of-province,Female,4765
93,Total,Male,39055
93,Total,Female,57220
93,Province,Male,36443
93,Province,Female,53595
93,"Among them, the separation of household registration and residence within the district",Male,13995
93,"Among them, the separation of household registration and residence within the district",Female,22689
93,Out-of-province,Male,2612
93,Out-of-province,Female,3625
94,Total,Male,29018
94,Total,Female,43093
94,Province,Male,27128
94,Province,Female,40444
94,"Among them, the separation of household registration and residence within the district",Male,10144
94,"Among them, the separation of household registration and residence within the district",Female,16940
94,Out-of-province,Male,1890
94,Out-of-province,Female,2649
95-99 years old,Total,Male,69249
95-99 years old,Total,Female,107411
95-99 years old,Province,Male,64640
95-99 years old,Province,Female,100751
95-99 years old,"Among them, the separation of household registration and residence within the district",Male,21225
95-99 years old,"Among them, the separation of household registration and residence within the district",Female,38136
95-99 years old,Out-of-province,Male,4609
95-99 years old,Out-of-province,Female,6660
95,Total,Male,23197
95,Total,Female,34936
95,Province,Male,21707
95,Province,Female,32792
95,"Among them, the separation of household registration and residence within the district",Male,7664
95,"Among them, the separation of household registration and residence within the district",Female,13229
95,Out-of-province,Male,1490
95,Out-of-province,Female,2144
96,Total,Male,16778
96,Total,Female,26383
96,Province,Male,15669
96,Province,Female,24766
96,"Among them, the separation of household registration and residence within the district",Male,5331
96,"Among them, the separation of household registration and residence within the district",Female,9668
96,Out-of-province,Male,1109
96,Out-of-province,Female,1617
97,Total,Male,12074
97,Total,Female,19464
97,Province,Male,11282
97,Province,Female,18308
97,"Among them, the separation of household registration and residence within the district",Male,3655
97,"Among them, the separation of household registration and residence within the district",Female,6796
97,Out-of-province,Male,792
97,Out-of-province,Female,1156
98,Total,Male,9271
98,Total,Female,14470
98,Province,Male,8667
98,Province,Female,13548
98,"Among them, the separation of household registration and residence within the district",Male,2604
98,"Among them, the separation of household registration and residence within the district",Female,4785
98,Out-of-province,Male,604
98,Out-of-province,Female,922
99,Total,Male,7929
99,Total,Female,12158
99,Province,Male,7315
99,Province,Female,11337
99,"Among them, the separation of household registration and residence within the district",Male,1971
99,"Among them, the separation of household registration and residence within the district",Female,3658
99,Out-of-province,Male,614
99,Out-of-province,Female,821
100 years old and above,Total,Male,13887
100 years old and above,Total,Female,22296
100 years old and above,Province,Male,12817
100 years old and above,Province,Female,20605
100 years old and above,"Among them, the separation of household registration and residence within the district",Male,3114
100 years old and above,"Among them, the separation of household registration and residence within the district",Female,6353
100 years old and above,Out-of-province,Male,1070
100 years old and above,Out-of-province,Female,1691
